Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d,trading_date,volume (24h)
15.0,MECMegacoin,MEC,234457.13,0.01191,19686450,0.21,11.84,0.1,2013/10/13,0.0
16.0,FRCFreicoin,FRC,221760.42,0.007597,29189950,0.3,27.67,93.74,2013/10/13,0.0
17.0,DGCDigitalcoin,DGC,188520.09,0.01979,9526748,6.81,2.93,8.91,2013/10/13,0.0
18.0,ANCAnoncoin,ANC,155328.02,0.3315,468544,0.29,9.35,22.92,2013/10/13,0.0
19.0,IFCInfinitecoin,IFC,151452.97,1.85e-06,81986125824,0.94,2.81,12.86,2013/10/13,0.0
20.0,GLCGoldCoin,GLC,77552.48,0.002832,27387590,0.29,1.51,6.29,2013/10/13,0.0
1.0,BTCBitcoin,BTC,2073319147.25,174.61,11874000,0.39,1.54,25.56,2013/10/20,0.0
2.0,XRPXRP,XRP,52377129.63,0.0067,7817889792,0.41,7.18,20.8,2013/10/20,0.0
3.0,LTCLitecoin,LTC,42968335.05,1.9294,22269842,0.21,2.41,9.42,2013/10/20,0.0
4.0,PPCPeercoin,PPC,6650532.18,0.323,20588066,0.94,5.67,20.54,2013/10/20,0.0
5.0,NMCNamecoin,NMC,3329028.64,0.4714,7061300,0.02,1.69,22.87,2013/10/20,0.0
6.0,NVCNovacoin,NVC,2068554.51,4.5381,455818,0.31,0.96,6.73,2013/10/20,0.0
7.0,XPMPrimecoin,XPM,1914905.51,0.725,2641319,1.67,2.05,21.87,2013/10/20,0.0
8.0,FTCFeathercoin,FTC,1428630.62,0.07159,19955700,0.02,0.36,28.22,2013/10/20,0.0
9.0,WDCWorldCoin,WDC,492548.61,0.01851,26614302,3.89,0.0,3.27,2013/10/20,0.0
10.0,TRCTerracoin,TRC,464703.08,0.1152,4032390,2.56,7.21,29.48,2013/10/20,0.0
11.0,CBXBullion,CBX,356813.8,0.4144,861106,1.01,3.25,0.0,2013/10/20,0.0
12.0,DVCDevcoin,DVC,270046.86,4.889e-05,5523469824,0.39,4.95,0.73,2013/10/20,0.0
13.0,MNCMincoin,MNC,264358.35,0.194,1362460,5.46,16.79,39.84,2013/10/20,0.0
14.0,FRCFreicoin,FRC,192525.42,0.006461,29800068,0.39,3.67,15.81,2013/10/20,0.0
15.0,MECMegacoin,MEC,192050.98,0.00963,19942124,2.67,26.06,27.28,2013/10/20,0.0
16.0,IXCIxcoin,IXC,168802.15,0.01048,16109618,0.39,32.97,34.07,2013/10/20,0.0
17.0,GLCGoldCoin,GLC,127687.8,0.004636,27544730,1.01,22.01,65.4,2013/10/20,0.0
18.0,DGCDigitalcoin,DGC,110326.84,0.01138,9695346,6.54,25.73,40.99,2013/10/20,0.0
19.0,BQCBBQCoin,BQC,62237.41,0.00241,25828746,0.39,21.85,95.53,2013/10/20,0.0
20.0,ZETZetacoin,ZET,52416.85,0.0003557,147379504,0.68,6.39,19.19,2013/10/20,0.0
1.0,BTCBitcoin,BTC,2339831246.08,196.44,11911175,1.65,10.67,12.45,2013/10/27,0.0
2.0,XRPXRP,XRP,53493201.51,0.006842,7817889792,1.65,12.3,2.0,2013/10/27,0.0
3.0,LTCLitecoin,LTC,47869216.16,2.1294,22480042,1.58,3.23,10.98,2013/10/27,0.0
4.0,PPCPeercoin,PPC,7776359.18,0.3772,20617934,1.2,17.38,18.14,2013/10/27,0.0
5.0,NMCNamecoin,NMC,3223967.8,0.4538,7104750,0.53,4.22,3.0,2013/10/27,0.0
6.0,NVCNovacoin,NVC,1922215.12,4.1626,461786,1.6,3.28,7.47,2013/10/27,0.0
7.0,XPMPrimecoin,XPM,1801599.18,0.6561,2745799,1.22,4.76,9.7,2013/10/27,0.0
8.0,FTCFeathercoin,FTC,1548705.52,0.07465,20747000,1.65,3.94,6.12,2013/10/27,0.0
9.0,TRCTerracoin,TRC,450862.3,0.11,4098510,0.88,10.83,2.62,2013/10/27,0.0
10.0,WDCWorldCoin,WDC,395415.54,0.01424,27764240,1.64,0.0,19.4,2013/10/27,0.0
11.0,DVCDevcoin,DVC,306421.17,5.5e-05,5570970112,1.65,10.74,12.17,2013/10/27,0.0
12.0,MECMegacoin,MEC,256422.86,0.01271,20172300,3.57,9.47,0.0,2013/10/27,0.0
13.0,CBXBullion,CBX,243761.41,0.279,873833,1.65,11.12,0.0,2013/10/27,0.0
14.0,MNCMincoin,MNC,160395.01,0.1177,1362460,1.12,12.08,36.8,2013/10/27,0.0
