Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d,trading_date,volume (24h)
7.0,WDCWorldCoin,WDC,26148372.94,0.7601,34401424,2.32,44.09,62.47,2013/12/08,0.0
8.0,MECMegacoin,MEC,21083628.39,0.9948,21193376,3.49,1.18,36.79,2013/12/08,0.0
9.0,XPMPrimecoin,XPM,12090897.08,3.5018,3452739,3.15,25.59,34.68,2013/12/08,0.0
10.0,FTCFeathercoin,FTC,11388199.45,0.4457,25552000,2.71,30.07,52.87,2013/12/08,0.0
11.0,NVCNovacoin,NVC,8671710.8,16.94,512025,0.09,12.59,21.38,2013/12/08,0.0
12.0,ZETZetacoin,ZET,5725811.69,0.03621,158118800,19.01,324.67,7.47,2013/12/08,0.0
13.0,FRCFreicoin,FRC,4514680.76,0.1326,34035136,0.53,0.96,59.39,2013/12/08,0.0
14.0,ANCAnoncoin,ANC,4147469.68,7.2423,572673,2.63,47.92,15.99,2013/12/08,0.0
15.0,NXTNxt,NXT,3979349.97,0.003979,1000000000,1.95,34.41,0.0,2013/12/08,0.0
16.0,IFCInfinitecoin,IFC,3552186.57,4.016e-05,88460771328,1.24,75.22,35.95,2013/12/08,0.0
17.0,TRCTerracoin,TRC,2940547.25,0.6447,4561430,1.74,31.47,42.6,2013/12/08,0.0
18.0,CBXBullion,CBX,2915897.78,3.1835,915947,0.84,18.84,32.09,2013/12/08,0.0
19.0,SBCStableCoin,SBC,2486227.64,0.2945,8443005,7.77,0.0,131.53,2013/12/08,0.0
20.0,BQCBBQCoin,BQC,2272191.51,0.08037,28269910,1.39,51.75,62.25,2013/12/08,0.0
1.0,BTCBitcoin,BTC,10625517591.78,876.12,12127925,0.08,0.21,11.75,2013/12/15,0.0
2.0,LTCLitecoin,LTC,750162075.22,31.28,23984092,0.15,2.67,16.14,2013/12/15,0.0
3.0,XRPXRP,XRP,227789115.66,0.02914,7817889792,0.32,8.77,18.7,2013/12/15,0.0
4.0,PPCPeercoin,PPC,91649291.87,4.3806,20921630,1.49,2.43,7.18,2013/12/15,0.0
5.0,QRKQuark,QRK,45754312.27,0.1857,246373520,0.02,2.99,74.26,2013/12/15,0.0
6.0,NMCNamecoin,NMC,43908870.14,5.8612,7491393,0.47,0.76,5.15,2013/12/15,0.0
7.0,WDCWorldCoin,WDC,22368317.29,0.6306,35472192,0.08,0.91,12.88,2013/12/15,0.0
8.0,PTSBitShares PTS,PTS,21565737.77,18.73,1151312,0.22,4.27,5.13,2013/12/15,0.0
9.0,MECMegacoin,MEC,18619300.28,0.8744,21294800,0.22,0.23,10.04,2013/12/15,0.0
10.0,XPMPrimecoin,XPM,14201579.12,3.9601,3586201,2.11,1.28,13.25,2013/12/15,0.0
11.0,FTCFeathercoin,FTC,11783591.36,0.4468,26372050,1.89,2.66,2.68,2013/12/15,0.0
12.0,ZETZetacoin,ZET,10140250.85,0.06393,158613728,0.22,6.64,106.44,2013/12/15,0.0
13.0,DVCDevcoin,DVC,9706426.25,0.001647,5893020160,2.22,25.46,411.83,2013/12/15,0.0
14.0,NVCNovacoin,NVC,9066531.49,17.43,520025,0.68,0.76,3.17,2013/12/15,0.0
15.0,NXTNxt,NXT,7429497.78,0.00743,1000000000,11.18,41.19,80.43,2013/12/15,0.0
16.0,DGCDigitalcoin,DGC,6431612.06,0.5606,11472132,0.22,20.91,279.71,2013/12/15,0.0
17.0,IFCInfinitecoin,IFC,5478057.12,6.17e-05,88785371136,0.67,11.13,41.76,2013/12/15,0.0
18.0,FRCFreicoin,FRC,5110690.82,0.1489,34313664,1.06,5.99,13.8,2013/12/15,0.0
19.0,ANCAnoncoin,ANC,3497227.45,5.9316,589593,5.73,5.87,9.43,2013/12/15,0.0
20.0,CLRCopperlark,CLR,3344091.57,0.6392,5231399,2.21,21.15,152.47,2013/12/15,0.0
1.0,BTCBitcoin,BTC,7505757333.43,617.18,12161375,0.68,2.42,29.26,2013/12/22,0.0
2.0,LTCLitecoin,LTC,407576814.52,16.86,24181092,0.21,0.65,45.92,2013/12/22,0.0
3.0,XRPXRP,XRP,169773560.84,0.02172,7817889792,0.88,0.61,25.01,2013/12/22,0.0
4.0,PPCPeercoin,PPC,64141315.83,3.0612,20952910,0.58,0.64,30.43,2013/12/22,0.0
5.0,NXTNxt,NXT,33240148.04,0.03324,999998016,9.54,83.1,370.48,2013/12/22,0.0
6.0,NMCNamecoin,NMC,30563713.11,4.0425,7560543,1.2,0.95,30.6,2013/12/22,0.0
7.0,QRKQuark,QRK,20966260.3,0.08499,246703424,0.16,2.97,53.66,2013/12/22,0.0
8.0,PTSBitShares PTS,PTS,15276674.7,12.91,1183445,0.75,2.08,22.61,2013/12/22,0.0
9.0,WDCWorldCoin,WDC,14089213.89,0.3853,36564004,3.13,1.54,35.21,2013/12/22,0.0
10.0,MECMegacoin,MEC,11094799.84,0.5186,21395624,1.25,0.2,37.18,2013/12/22,0.0
11.0,XPMPrimecoin,XPM,7517762.08,2.0367,3691159,1.71,1.06,47.59,2013/12/22,0.0
12.0,FTCFeathercoin,FTC,7045544.63,0.2592,27180250,1.21,3.35,40.37,2013/12/22,0.0
13.0,NVCNovacoin,NVC,6087466.25,11.5,529434,0.95,1.67,33.71,2013/12/22,0.0
14.0,ZETZetacoin,ZET,5296156.92,0.0333,159029264,3.64,5.91,45.64,2013/12/22,0.0
15.0,DOGEDogecoin,DOGE,3706589.8,0.0003148,11775856640,3.04,20.97,33.05,2013/12/22,0.0
16.0,IFCInfinitecoin,IFC,3154708.7,3.54e-05,89110020096,2.44,1.81,41.55,2013/12/22,0.0
17.0,DVCDevcoin,DVC,3152653.92,0.0005308,5939720192,0.35,1.86,66.75,2013/12/22,0.0
18.0,FRCFreicoin,FRC,2787772.87,0.0803,34719084,4.52,6.76,46.03,2013/12/22,0.0
19.0,DGCDigitalcoin,DGC,2419598.18,0.2076,11654357,4.24,14.26,61.24,2013/12/22,0.0
20.0,CLRCopperlark,CLR,2281039.22,0.4257,5358249,0.65,0.78,32.95,2013/12/22,0.0
1.0,BTCBitcoin,BTC,9082103472.45,745.05,12189925,0.1,1.96,17.84,2013/12/29,19011344.0
2.0,LTCLitecoin,LTC,586899831.49,24.07,24387992,0.94,6.35,39.97,2013/12/29,11384235.0
3.0,XRPXRP,XRP,212783895.27,0.02722,7817889792,0.27,0.33,22.27,2013/12/29,56771.56
4.0,OMNIOmni,OMNI,111753184.65,180.4,619478,0.05,6.45,0.0,2013/12/29,256754.03
5.0,PPCPeercoin,PPC,89891412.39,4.284,20982872,0.3,1.12,37.05,2013/12/29,540364.44
6.0,NXTNxt,NXT,56123014.95,0.05612,999998016,0.16,4.0,59.9,2013/12/29,501303.94
7.0,NMCNamecoin,NMC,38151789.93,5.0067,7620093,0.23,3.74,22.58,2013/12/29,608204.56
8.0,QRKQuark,QRK,27406774.15,0.111,246896752,0.71,4.15,27.17,2013/12/29,107893.75
9.0,PTSBitShares PTS,PTS,25317603.81,20.76,1219272,5.31,0.0,62.16,2013/12/29,38473.83
10.0,WDCWorldCoin,WDC,19546847.28,0.519,37664548,4.28,6.21,30.83,2013/12/29,123416.81
11.0,MECMegacoin,MEC,18066158.45,0.8404,21496676,1.84,2.46,58.27,2013/12/29,47377.97
12.0,XPMPrimecoin,XPM,10266259.43,2.712,3785519,1.37,4.52,29.59,2013/12/29,61540.21
13.0,IFCInfinitecoin,IFC,9681912.75,0.0001084,89307070464,0.6,27.96,193.06,2013/12/29,115791.45
14.0,FTCFeathercoin,FTC,9589252.79,0.3427,27979600,1.8,2.01,28.93,2013/12/29,63072.83
15.0,DOGEDogecoin,DOGE,7634725.53,0.0004545,16798796800,0.98,1.76,43.74,2013/12/29,360974.5
16.0,NVCNovacoin,NVC,7426824.86,13.78,538823,0.36,2.2,17.76,2013/12/29,34403.87
17.0,ZETZetacoin,ZET,5652165.71,0.03549,159242032,4.47,6.83,7.0,2013/12/29,8992.33
18.0,DVCDevcoin,DVC,3791059.92,0.0006333,5986270208,0.1,1.11,16.67,2013/12/29,4701.0
19.0,ANCAnoncoin,ANC,2879432.55,4.6194,623335,0.03,0.13,22.83,2013/12/29,5745.18
20.0,DGCDigitalcoin,DGC,2846070.43,0.2405,11835701,0.14,0.91,5.0,2013/12/29,19775.66
