Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,124,306,468.29",$99.51,"11,298,425 BTC",-0.01%,-0.89%,-1.32%
2.0,LTCLitecoin,LTC,"$39,617,176.03",$2.1295,"18,603,854 LTC",0.84%,1.31%,-10.92%
3.0,NMCNamecoin,NMC,"$2,313,381.58",$0.3951,"5,855,850 NMC",1.27%,-2.70%,-31.91%
4.0,PPCPeercoin,PPC,"$2,131,363.14",$0.1105,"19,296,016 PPC",-0.78%,0.16%,-5.51%
5.0,NVCNovacoin,NVC,"$943,738.73",$3.2470,"290,648 NVC",-0.29%,-1.17%,-2.72%
6.0,FTCFeathercoin,FTC,"$817,909.00",$0.1085,"7,540,700 FTC",0.39%,-5.68%,-13.05%
7.0,TRCTerracoin,TRC,"$468,510.18",$0.1602,"2,924,330 TRC",0.08%,-3.21%,-18.49%
8.0,DVCDevcoin,DVC,"$411,176.50",$0.00008774,"4,686,519,808 DVC",1.33%,-2.48%,-25.48%
9.0,FRCFreicoin,FRC,"$386,099.25",$0.01791,"21,554,378 FRC",-0.01%,1.96%,11.03%
10.0,CNCCHNCoin,CNC,"$216,136.99",$0.04179,"5,171,458 CNC",-0.01%,-1.85%,-18.66%
11.0,BQCBBQCoin,BQC,"$83,118.07",$0.004359,"19,070,168 BQC",7.00%,5.17%,-19.47%
12.0,DGCDigitalcoin,DGC,"$71,553.91",$0.02987,"2,395,198 DGC",0.06%,2.39%,-20.51%
13.0,YACYacoin,YAC,"$70,774.48",$0.0199,"3,556,148 YAC",-0.65%,-4.87%,-39.70%
14.0,WDCWorldCoin,WDC,"$56,980.47",$0.009473,"6,014,815 WDC",-0.01%,-3.74%,--
15.0,MNCMincoin,MNC,"$37,617.32",$0.03393,"1,108,579 MNC",-0.01%,-18.87%,-19.08%
16.0,BTBBitBar,BTB,"$21,486.74",$5.9706,"3,599 BTB",-11.12%,-8.50%,-54.80%
17.0,GLCGoldCoin,GLC,"$19,834.44",$0.001462,"13,566,450 GLC",-0.67%,23.24%,--
18.0,MEMMemecoin,MEM,"$8,474.66",$0.0008163,"10,381,550 MEM",-0.33%,15.87%,-49.94%
19.0,LKYLuckycoin,LKY,"$7,949.17",$0.002512,"3,164,008 LKY",-0.05%,-3.59%,--
20.0,FRKFranko,FRK,"$4,284.35",$0.1939,"22,091 FRK",16.59%,42.68%,29.36%
,AmericanCoin,,,,,,,
,Junkcoin,,,,,,,
,Nibble,,,,,,,
,Elacoin,,,,,,,
