Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,634,968,896.30",$138.13,"11,836,450 BTC",-0.30%,2.27%,7.12%
2.0,XRPXRP,XRP,"$65,761,480.71",$0.008412,"7,817,889,792 XRP",0.18%,-10.26%,-13.07%
3.0,LTCLitecoin,LTC,"$46,962,275.38",$2.1286,"22,062,692 LTC",0.44%,0.23%,-1.88%
4.0,PPCPeercoin,PPC,"$8,371,560.83",$0.4075,"20,544,540 PPC",0.33%,0.91%,-13.81%
5.0,NMCNamecoin,NMC,"$4,250,854.27",$0.6092,"6,978,300 NMC",-0.88%,-0.66%,6.94%
6.0,XPMPrimecoin,XPM,"$2,332,161.95",$0.9255,"2,519,973 XPM",2.99%,42.05%,178.77%
7.0,NVCNovacoin,NVC,"$1,937,980.26",$4.3331,"447,246 NVC",-0.10%,1.13%,2.86%
8.0,FTCFeathercoin,FTC,"$1,907,171.93",$0.09945,"19,176,500 FTC",-1.09%,-4.74%,-16.02%
9.0,TRCTerracoin,TRC,"$654,518.62",$0.1644,"3,981,870 TRC",-3.54%,-2.98%,-1.03%
10.0,WDCWorldCoin,WDC,"$504,447.87",$0.0198,"25,477,738 WDC",10.15%,-5.99%,132.05%
11.0,MNCMincoin,MNC,"$451,088.56",$0.3311,"1,362,460 MNC",8.75%,26.40%,141.50%
12.0,CBXBullion,CBX,"$346,840.57",$0.4075,"851,177 CBX",-0.29%,--,--
13.0,DVCDevcoin,DVC,"$264,767.52",$0.00004835,"5,476,570,112 DVC",-0.30%,-4.93%,7.62%
14.0,IXCIxcoin,IXC,"$251,994.20",$0.01579,"15,962,258 IXC",-0.30%,1.66%,--
15.0,MECMegacoin,MEC,"$234,457.13",$0.01191,"19,686,450 MEC",-0.21%,-11.84%,-0.10%
16.0,FRCFreicoin,FRC,"$221,760.42",$0.007597,"29,189,950 FRC",-0.30%,27.67%,93.74%
17.0,DGCDigitalcoin,DGC,"$188,520.09",$0.01979,"9,526,748 DGC",6.81%,2.93%,8.91%
18.0,ANCAnoncoin,ANC,"$155,328.02",$0.3315,"468,544 ANC",-0.29%,9.35%,22.92%
19.0,IFCInfinitecoin,IFC,"$151,452.97",$0.00000185,"81,986,125,824 IFC",0.94%,2.81%,-12.86%
20.0,GLCGoldCoin,GLC,"$77,552.48",$0.002832,"27,387,590 GLC",-0.29%,1.51%,-6.29%
,Zetacoin,,,,,,,
,Yacoin,,,,,,,
,Quark,,,,,,,
,BBQCoin,,,,,,,
,Fastcoin,,,,,,,
,SecureCoin,,,,,,,
,Franko,,,,,,,
,Bytecoin,,,,,,,
,BitBar,,,,,,,
,Phoenixcoin,,,,,,,
,Argentum,,,,,,,
,GameCoin,,,,,,,
,Bitgem,,,,,,,
,Junkcoin,,,,,,,
,Elacoin,,,,,,,
,CraftCoin,,,,,,,
,Noirbits,,,,,,,
,Emerald Crypto,,,,,,,
