Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$10,625,517,591.78",$876.12,"12,127,925 BTC",0.08%,0.21%,11.75%
2.0,LTCLitecoin,LTC,"$750,162,075.22",$31.28,"23,984,092 LTC",0.15%,2.67%,16.14%
3.0,XRPXRP,XRP,"$227,789,115.66",$0.02914,"7,817,889,792 XRP",0.32%,-8.77%,-18.70%
4.0,PPCPeercoin,PPC,"$91,649,291.87",$4.3806,"20,921,630 PPC",-1.49%,2.43%,7.18%
5.0,QRKQuark,QRK,"$45,754,312.27",$0.1857,"246,373,520 QRK",0.02%,-2.99%,74.26%
6.0,NMCNamecoin,NMC,"$43,908,870.14",$5.8612,"7,491,393 NMC",0.47%,-0.76%,-5.15%
7.0,WDCWorldCoin,WDC,"$22,368,317.29",$0.6306,"35,472,192 WDC",0.08%,-0.91%,-12.88%
8.0,PTSBitShares PTS,PTS,"$21,565,737.77",$18.73,"1,151,312 PTS",0.22%,-4.27%,5.13%
9.0,MECMegacoin,MEC,"$18,619,300.28",$0.8744,"21,294,800 MEC",0.22%,-0.23%,-10.04%
10.0,XPMPrimecoin,XPM,"$14,201,579.12",$3.9601,"3,586,201 XPM",2.11%,1.28%,13.25%
11.0,FTCFeathercoin,FTC,"$11,783,591.36",$0.4468,"26,372,050 FTC",1.89%,2.66%,2.68%
12.0,ZETZetacoin,ZET,"$10,140,250.85",$0.06393,"158,613,728 ZET",0.22%,-6.64%,106.44%
13.0,DVCDevcoin,DVC,"$9,706,426.25",$0.001647,"5,893,020,160 DVC",-2.22%,25.46%,411.83%
14.0,NVCNovacoin,NVC,"$9,066,531.49",$17.43,"520,025 NVC",0.68%,0.76%,3.17%
15.0,NXTNxt,NXT,"$7,429,497.78",$0.00743,"1,000,000,000 NXT",11.18%,41.19%,80.43%
16.0,DGCDigitalcoin,DGC,"$6,431,612.06",$0.5606,"11,472,132 DGC",0.22%,-20.91%,279.71%
17.0,IFCInfinitecoin,IFC,"$5,478,057.12",$0.0000617,"88,785,371,136 IFC",0.67%,11.13%,41.76%
18.0,FRCFreicoin,FRC,"$5,110,690.82",$0.1489,"34,313,664 FRC",1.06%,-5.99%,13.80%
19.0,ANCAnoncoin,ANC,"$3,497,227.45",$5.9316,"589,593 ANC",-5.73%,-5.87%,-9.43%
20.0,CLRCopperlark,CLR,"$3,344,091.57",$0.6392,"5,231,399 CLR",-2.21%,-21.15%,152.47%
,Bullion,,,,,,,
,Terracoin,,,,,,,
,GoldCoin,,,,,,,
,Ixcoin,,,,,,,
,BBQCoin,,,,,,,
,Sexcoin,,,,,,,
,Dogecoin,,,,,,,
,Fastcoin,,,,,,,
,StableCoin,,,,,,,
,FLO,,,,,,,
,Tickets,,,,,,,
,Yacoin,,,,,,,
,Datacoin,,,,,,,
,GlobalCoin,,,,,,,
,I0Coin,,,,,,,
,Mincoin,,,,,,,
,Deutsche eMark,,,,,,,
,TagCoin,,,,,,,
,BitBar,,,,,,,
,Phoenixcoin,,,,,,,
,CasinoCoin,,,,,,,
,GameCoin,,,,,,,
,Luckycoin,,,,,,,
,Franko,,,,,,,
,Argentum,,,,,,,
,Bytecoin,,,,,,,
,Noirbits,,,,,,,
,CraftCoin,,,,,,,
,BetaCoin,,,,,,,
,EZCoin,,,,,,,
,Junkcoin,,,,,,,
,Spots,,,,,,,
