Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,038,799,169.95",$90.76,"11,445,900 BTC",0.48%,0.81%,-3.89%
2.0,LTCLitecoin,LTC,"$57,116,054.34",$2.9160,"19,586,904 LTC",0.88%,0.85%,0.98%
3.0,NMCNamecoin,NMC,"$2,962,845.61",$0.4883,"6,067,993 NMC",0.06%,-2.71%,-8.25%
4.0,PPCPeercoin,PPC,"$2,753,787.82",$0.1398,"19,702,806 PPC",0.48%,-6.31%,-10.69%
5.0,NVCNovacoin,NVC,"$1,204,790.03",$3.8517,"312,791 NVC",0.64%,1.91%,-2.97%
6.0,XPMPrimecoin,XPM,"$1,168,854.58",$1.0437,"1,119,905 XPM",0.17%,16.19%,569.85%
7.0,FTCFeathercoin,FTC,"$882,015.91",$0.08077,"10,919,550 FTC",0.48%,0.82%,-2.72%
8.0,TRCTerracoin,TRC,"$487,870.61",$0.1497,"3,257,910 TRC",0.54%,-1.59%,-6.02%
9.0,DVCDevcoin,DVC,"$254,344.99",$0.00005173,"4,916,620,288 DVC",2.34%,3.96%,-25.99%
10.0,FRCFreicoin,FRC,"$244,976.19",$0.01078,"22,717,088 FRC",0.54%,-0.18%,-6.58%
11.0,DGCDigitalcoin,DGC,"$170,031.29",$0.03181,"5,345,141 DGC",-1.53%,-11.50%,-43.56%
12.0,MECMegacoin,MEC,"$161,426.39",$0.01232,"13,101,500 MEC",12.28%,40.52%,151.36%
13.0,WDCWorldCoin,WDC,"$145,792.15",$0.0118,"12,356,888 WDC",1.52%,12.70%,18.42%
14.0,PXCPhoenixcoin,PXC,"$126,115.75",$0.03694,"3,414,150 PXC",-4.76%,-0.86%,49.74%
15.0,YACYacoin,YAC,"$81,633.98",$0.0177,"4,612,695 YAC",-1.93%,5.66%,-19.87%
16.0,BQCBBQCoin,BQC,"$77,919.22",$0.003694,"21,094,464 BQC",0.54%,0.08%,-13.24%
17.0,CNCCHNCoin,CNC,"$62,014.01",$0.0118,"5,256,114 CNC",0.54%,0.81%,26.21%
18.0,FSTFastcoin,FST,"$55,913.27",$0.004533,"12,333,824 FST",-0.71%,-6.79%,142.37%
19.0,IXCIxcoin,IXC,"$55,740.50",$0.003904,"14,276,402 IXC",0.59%,13.68%,8.26%
20.0,MNCMincoin,MNC,"$46,706.59",$0.0389,"1,200,783 MNC",0.48%,18.60%,71.54%
,Franko,,,,,,,
,Argentum,,,,,,,
,Bottlecaps,,,,,,,
,Luckycoin,,,,,,,
,Infinitecoin,,,,,,,
,BitBar,,,,,,,
,Anoncoin,,,,,,,
,GoldCoin,,,,,,,
,Bitgem,,,,,,,
,Bytecoin,,,,,,,
,CraftCoin,,,,,,,
,Krugercoin,,,,,,,
,Noirbits,,,,,,,
,AlphaCoin,,,,,,,
,StableCoin,,,,,,,
,Memecoin,,,,,,,
,NanoToken,,,,,,,
,Nibble,,,,,,,
,EZCoin,,,,,,,
,Hypercoin,,,,,,,
,Elacoin,,,,,,,
,Doubloons,,,,,,,
