Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$5,907,841,887.89",$492.11,"12,005,125 BTC",-1.31%,11.34%,55.65%
2.0,LTCLitecoin,LTC,"$94,452,809.89",$4.0894,"23,096,792 LTC",-3.21%,-5.33%,8.81%
3.0,XRPXRP,XRP,"$79,811,364.08",$0.01021,"7,817,889,792 XRP",-1.73%,0.82%,22.20%
4.0,PPCPeercoin,PPC,"$15,956,728.66",$0.7689,"20,752,612 PPC",-4.92%,7.51%,30.83%
5.0,NMCNamecoin,NMC,"$4,578,176.84",$0.6255,"7,319,500 NMC",-0.85%,-3.68%,1.29%
6.0,NVCNovacoin,NVC,"$2,355,870.65",$4.8700,"483,751 NVC",0.53%,-4.06%,-4.42%
7.0,XPMPrimecoin,XPM,"$2,119,653.38",$0.6889,"3,076,647 XPM",-1.55%,-9.57%,-4.71%
8.0,WDCWorldCoin,WDC,"$1,554,778.74",$0.05015,"31,005,034 WDC",-3.71%,9.34%,57.30%
9.0,FTCFeathercoin,FTC,"$1,388,509.41",$0.06004,"23,127,400 FTC",-27.02%,-35.66%,-42.86%
10.0,CBXBullion,CBX,"$1,031,000.99",$1.1443,"900,959 CBX",1.45%,-3.43%,128.64%
11.0,DVCDevcoin,DVC,"$477,500.44",$0.00008366,"5,707,720,192 DVC",-1.31%,11.34%,24.89%
12.0,MECMegacoin,MEC,"$347,575.15",$0.01673,"20,773,400 MEC",-2.73%,17.32%,16.10%
13.0,IXCIxcoin,IXC,"$294,130.62",$0.01772,"16,602,578 IXC",-1.31%,-1.65%,13.06%
14.0,CLRCopperlark,CLR,"$278,987.93",$0.05905,"4,724,349 CLR",-1.32%,-30.90%,-12.61%
15.0,DGCDigitalcoin,DGC,"$261,038.27",$0.02441,"10,694,496 DGC",2.64%,22.27%,55.02%
16.0,MNCMincoin,MNC,"$259,347.21",$0.1847,"1,404,238 MNC",-4.66%,-24.03%,-32.11%
17.0,TRCTerracoin,TRC,"$212,057.32",$0.04927,"4,304,410 TRC",-1.21%,-1.17%,-63.78%
18.0,FRCFreicoin,FRC,"$190,930.60",$0.005905,"32,331,966 FRC",6.05%,2.71%,-10.80%
19.0,GLCGoldCoin,GLC,"$163,176.78",$0.005763,"28,316,480 GLC",-0.84%,2.47%,31.61%
20.0,ANCAnoncoin,ANC,"$136,914.44",$0.2628,"520,971 ANC",-2.06%,4.96%,10.13%
,Infinitecoin,,,,,,,
,Zetacoin,,,,,,,
,TagCoin,,,,,,,
,BBQCoin,,,,,,,
,Quark,,,,,,,
,Fastcoin,,,,,,,
,Yacoin,,,,,,,
,Tickets,,,,,,,
,Franko,,,,,,,
,BitBar,,,,,,,
,Bytecoin,,,,,,,
,Luckycoin,,,,,,,
,Phoenixcoin,,,,,,,
,CraftCoin,,,,,,,
,Junkcoin,,,,,,,
,Emerald Crypto,,,,,,,
