Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$64,694,025,950.73","$3,690.19","17,531,362 BTC","$6,282,256,902.92",0.41%,0.54%,6.51%
2.0,ETHEthereum,ETH,"$13,080,881,910.23",$124.81,"104,809,313 ETH","$3,148,766,590.14",2.56%,4.59%,16.12%
3.0,XRPXRP,XRP,"$12,758,715,489.78",$0.3099,"41,169,202,069 XRP","$495,640,830.96",0.92%,-0.17%,2.70%
4.0,LTCLitecoin,LTC,"$2,828,937,241.05",$46.83,"60,412,000 LTC","$1,420,578,822.97",0.52%,5.15%,39.36%
5.0,EOSEOS,EOS,"$2,572,785,405.05",$2.8390,"906,245,118 EOS","$936,574,263.38",2.61%,2.65%,19.32%
6.0,BCHBitcoin Cash,BCH,"$2,247,451,284.57",$127.59,"17,615,088 BCH","$285,347,997.97",0.90%,-0.50%,7.40%
7.0,USDTTether,USDT,"$2,029,926,998.80",$1.0042,"2,021,402,717 USDT","$4,965,113,767.70",-0.09%,0.27%,0.24%
8.0,TRXTRON,TRX,"$1,721,025,028.59",$0.02581,"66,671,422,606 TRX","$217,842,435.92",-0.41%,-1.84%,1.44%
9.0,XLMStellar,XLM,"$1,541,020,269.46",$0.08039,"19,168,571,323 XLM","$133,339,148.83",0.33%,-0.33%,-1.62%
10.0,BNBBinance Coin,BNB,"$1,300,443,647.11",$9.2115,"141,175,490 BNB","$125,419,865.46",0.21%,3.93%,36.77%
11.0,BSVBitcoin SV,BSV,"$1,173,301,756.90",$66.61,"17,613,923 BSV","$80,275,616.51",2.46%,0.76%,4.44%
12.0,ADACardano,ADA,"$1,110,446,759.76",$0.04283,"25,927,070,538 ADA","$22,634,046.98",2.00%,4.22%,12.61%
13.0,XMRMonero,XMR,"$836,265,588.90",$49.83,"16,783,157 XMR","$52,351,662.03",1.16%,2.49%,16.13%
14.0,MIOTAIOTA,MIOTA,"$777,847,783.58",$0.2798,"2,779,530,283 MIOTA","$13,408,132.88",1.22%,0.82%,12.12%
15.0,DASHDash,DASH,"$651,066,069.10",$75.50,"8,623,852 DASH","$177,539,073.12",1.73%,1.63%,13.08%
16.0,NEONeo,NEO,"$517,438,260.50",$7.9606,"65,000,000 NEO","$159,699,884.66",1.15%,4.08%,13.29%
17.0,MKRMaker,MKR,"$461,136,026.56",$461.14,"1,000,000 MKR","$460,412.41",0.38%,2.78%,22.98%
18.0,ETCEthereum Classic,ETC,"$451,510,859.62",$4.1735,"108,184,077 ETC","$185,806,940.40",1.90%,2.32%,6.59%
19.0,XEMNEM,XEM,"$360,979,001.67",$0.04011,"8,999,999,999 XEM","$11,827,729.35",0.86%,0.28%,2.06%
20.0,ZECZcash,ZEC,"$298,581,547.06",$50.89,"5,866,881 ZEC","$177,859,790.59",1.82%,1.23%,5.15%
,Waves,,,,,,,,
,USD Coin,,,,,,,,
,Tezos,,,,,,,,
,Dogecoin,,,,,,,,
,VeChain,,,,,,,,
,TrueUSD,,,,,,,,
,Ontology,,,,,,,,
,Bitcoin Gold,,,,,,,,
,Qtum,,,,,,,,
,OmiseGO,,,,,,,,
,Decred,,,,,,,,
,Chainlink,,,,,,,,
,Holo,,,,,,,,
,Basic Attention Token,,,,,,,,
,Augur,,,,,,,,
,0x,,,,,,,,
,Zilliqa,,,,,,,,
,Lisk,,,,,,,,
,Paxos Standard,,,,,,,,
,Bytecoin,,,,,,,,
,Bitcoin Diamond,,,,,,,,
,Nano,,,,,,,,
,Pundi X,,,,,,,,
,BitShares,,,,,,,,
,DigiByte,,,,,,,,
,ICON,,,,,,,,
,Steem,,,,,,,,
,Verge,,,,,,,,
,Aeternity,,,,,,,,
