Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$181,450,186,164.48","$10,138.52","17,897,112 BTC","$14,153,856,609.65",0.68%,-0.03%,-2.37%
2.0,ETHEthereum,ETH,"$20,080,495,261.01",$186.84,"107,472,908 ETH","$5,826,017,143.09",0.20%,-2.01%,-4.43%
3.0,XRPXRP,XRP,"$11,589,356,109.38",$0.2701,"42,909,539,227 XRP","$964,693,736.61",0.17%,-0.72%,-5.06%
4.0,BCHBitcoin Cash,BCH,"$5,490,872,606.32",$305.60,"17,967,400 BCH","$1,156,287,353.54",0.33%,-0.42%,-3.85%
5.0,LTCLitecoin,LTC,"$4,563,612,040.24",$72.31,"63,113,387 LTC","$2,227,400,266.89",0.17%,-1.48%,-5.72%
6.0,BNBBinance Coin,BNB,"$4,064,461,676.71",$26.13,"155,536,713 BNB","$165,296,407.74",0.53%,-1.17%,-6.47%
7.0,USDTTether,USDT,"$4,047,319,906.56",$0.9996,"4,049,107,372 USDT","$15,701,077,261.54",0.04%,-0.15%,-0.39%
8.0,EOSEOS,EOS,"$3,305,131,642.39",$3.5578,"928,991,811 EOS","$1,373,815,043.54",0.20%,-2.81%,-4.35%
9.0,BSVBitcoin SV,BSV,"$2,373,713,767.69",$132.94,"17,854,986 BSV","$283,207,351.95",0.64%,-0.19%,-3.36%
10.0,XLMStellar,XLM,"$1,407,444,845.58",$0.07168,"19,636,142,641 XLM","$116,852,501.32",-0.70%,6.57%,1.15%
11.0,XMRMonero,XMR,"$1,380,344,265.40",$80.37,"17,174,207 XMR","$97,178,649.03",0.65%,-0.10%,-6.58%
12.0,ADACardano,ADA,"$1,281,808,184.57",$0.04944,"25,927,070,538 ADA","$104,616,408.22",0.29%,-1.72%,-2.04%
13.0,LEOUNUS SED LEO,LEO,"$1,175,540,521.11",$1.1761,"999,498,893 LEO","$5,507,373.42",-0.13%,0.12%,-9.97%
14.0,TRXTRON,TRX,"$1,171,405,384.61",$0.01757,"66,682,072,191 TRX","$482,224,129.20",-0.36%,-0.98%,-2.03%
15.0,DASHDash,DASH,"$822,765,307.61",$91.43,"8,999,233 DASH","$148,936,750.84",0.13%,-0.82%,-4.02%
16.0,ETCEthereum Classic,ETC,"$807,922,109.70",$7.1511,"112,979,098 ETC","$829,563,022.77",0.10%,3.55%,27.75%
17.0,XTZTezos,XTZ,"$754,098,350.41",$1.1419,"660,373,612 XTZ","$7,996,368.87",0.30%,-0.58%,-5.52%
18.0,MIOTAIOTA,MIOTA,"$735,562,218.73",$0.2646,"2,779,530,283 MIOTA","$8,070,254.33",0.07%,2.05%,6.12%
19.0,LINKChainlink,LINK,"$729,777,072.66",$2.0851,"350,000,000 LINK","$59,471,444.83",1.05%,-4.45%,-15.92%
20.0,NEONeo,NEO,"$681,634,893.86",$9.6633,"70,538,831 NEO","$238,063,245.67",0.54%,-3.99%,-2.78%
,Maker,,,,,,,,
,Cosmos,,,,,,,,
,NEM,,,,,,,,
,USD Coin,,,,,,,,
,Ontology,,,,,,,,
