Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,211,789,250.00",$105.00,"11,540,850 BTC",0.11%,1.85%,-0.51%
2.0,LTCLitecoin,LTC,"$54,533,789.26",$2.6943,"20,240,430 LTC",0.17%,5.04%,-9.95%
3.0,XRPXRP,XRP,"$34,518,516.10",$0.004415,"7,817,889,792 XRP",0.12%,2.23%,-25.21%
4.0,NMCNamecoin,NMC,"$4,222,475.34",$0.673,"6,273,643 NMC",-0.57%,3.39%,9.03%
5.0,PPCPeercoin,PPC,"$3,159,445.71",$0.1585,"19,927,126 PPC",0.26%,1.61%,-0.81%
6.0,FTCFeathercoin,FTC,"$2,001,729.80",$0.1523,"13,147,650 FTC",0.15%,1.64%,-6.72%
7.0,NVCNovacoin,NVC,"$1,799,905.11",$5.1460,"349,764 NVC",0.36%,0.45%,-6.06%
8.0,XPMPrimecoin,XPM,"$1,351,773.92",$0.8832,"1,530,619 XPM",0.08%,3.92%,34.40%
9.0,TRCTerracoin,TRC,"$655,735.09",$0.1806,"3,630,870 TRC",-1.02%,-0.07%,5.10%
10.0,DVCDevcoin,DVC,"$286,724.52",$0.0000567,"5,056,869,888 DVC",-0.77%,1.46%,-11.08%
11.0,DGCDigitalcoin,DGC,"$212,140.22",$0.03099,"6,846,204 DGC",0.19%,-0.08%,-14.02%
12.0,FRCFreicoin,FRC,"$158,239.86",$0.006616,"23,917,574 FRC",0.15%,-8.31%,-3.51%
13.0,WDCWorldCoin,WDC,"$126,981.80",$0.00819,"15,504,492 WDC",1.30%,2.38%,-3.83%
14.0,YACYacoin,YAC,"$115,933.19",$0.021,"5,520,628 YAC",-5.49%,-5.10%,5.83%
15.0,MECMegacoin,MEC,"$93,483.78",$0.005924,"15,780,250 MEC",-3.40%,10.79%,-19.31%
16.0,MNCMincoin,MNC,"$87,569.47",$0.07005,"1,250,067 MNC",4.40%,-19.41%,-25.73%
17.0,IXCIxcoin,IXC,"$85,022.82",$0.005784,"14,698,514 IXC",1.39%,3.85%,49.01%
18.0,IFCInfinitecoin,IFC,"$80,005.13",$0.00000113,"70,605,864,960 IFC",1.18%,56.13%,37.98%
19.0,CBXBullion,CBX,"$75,822.86",$0.1281,"591,904 CBX",5.32%,-2.37%,24.80%
20.0,PXCPhoenixcoin,PXC,"$71,820.28",$0.02068,"3,472,800 PXC",12.74%,20.27%,-11.97%
,GoldCoin,,,,,,,
,BBQCoin,,,,,,,
,Fastcoin,,,,,,,
,CHNCoin,,,,,,,
,Luckycoin,,,,,,,
,Franko,,,,,,,
,Bytecoin,,,,,,,
,BitBar,,,,,,,
,Anoncoin,,,,,,,
,Bottlecaps,,,,,,,
,Argentum,,,,,,,
,CraftCoin,,,,,,,
,Bitgem,,,,,,,
,AlphaCoin,,,,,,,
,Krugercoin,,,,,,,
,Lebowskis,,,,,,,
,CasinoCoin,,,,,,,
,Emerald Crypto,,,,,,,
,Spots,,,,,,,
,Memecoin,,,,,,,
,XenCoin,,,,,,,
,GlobalCoin,,,,,,,
,StableCoin,,,,,,,
,Nibble,,,,,,,
,Doubloons,,,,,,,
,Hypercoin,,,,,,,
,Elacoin,,,,,,,
,EZCoin,,,,,,,
,Junkcoin,,,,,,,
