Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$9,317,034,156.25",$774.25,"12,033,625 BTC",-0.89%,-2.56%,57.66%
2.0,LTCLitecoin,LTC,"$242,572,318.54",$10.41,"23,310,992 LTC",-0.42%,-1.41%,150.93%
3.0,XRPXRP,XRP,"$91,218,427.45",$0.01167,"7,817,889,792 XRP",-0.28%,19.85%,12.92%
4.0,PPCPeercoin,PPC,"$45,055,424.12",$2.1679,"20,782,980 PPC",4.93%,22.55%,170.46%
5.0,NMCNamecoin,NMC,"$20,001,994.64",$2.7099,"7,381,150 NMC",0.63%,-1.18%,339.02%
6.0,PTSBitShares PTS,PTS,"$7,490,654.02",$7.9206,"945,721 PTS",-4.04%,-6.19%,--
7.0,FTCFeathercoin,FTC,"$5,557,748.31",$0.2323,"23,927,450 FTC",-3.20%,-11.13%,193.40%
8.0,XPMPrimecoin,XPM,"$5,360,236.80",$1.6956,"3,161,249 XPM",-2.55%,8.46%,159.02%
9.0,NVCNovacoin,NVC,"$4,059,827.38",$8.1993,"495,143 NVC",-0.25%,0.37%,70.25%
10.0,WDCWorldCoin,WDC,"$2,987,078.31",$0.0929,"32,152,914 WDC",8.02%,0.15%,86.02%
11.0,MECMegacoin,MEC,"$2,859,161.65",$0.1363,"20,981,900 MEC",2.46%,54.31%,750.51%
12.0,CBXBullion,CBX,"$1,846,880.68",$2.0392,"905,680 CBX",1.61%,-4.23%,74.71%
13.0,FRCFreicoin,FRC,"$1,179,399.59",$0.03562,"33,114,784 FRC",-0.91%,19.36%,478.68%
14.0,IXCIxcoin,IXC,"$1,035,452.98",$0.06193,"16,719,122 IXC",-0.89%,59.03%,250.33%
15.0,ANCAnoncoin,ANC,"$958,863.75",$1.7809,"538,413 ANC",-3.65%,30.60%,590.89%
16.0,DVCDevcoin,DVC,"$846,444.75",$0.0001471,"5,753,920,000 DVC",-0.69%,-0.15%,77.81%
17.0,DGCDigitalcoin,DGC,"$681,230.63",$0.0627,"10,865,136 DGC",-3.52%,56.15%,183.48%
18.0,IFCInfinitecoin,IFC,"$629,489.07",$0.00000717,"87,817,371,648 IFC",0.51%,-12.50%,365.83%
19.0,TRCTerracoin,TRC,"$605,768.10",$0.1394,"4,346,630 TRC",-4.24%,6.21%,176.79%
20.0,BQCBBQCoin,BQC,"$573,644.60",$0.0209,"27,440,874 BQC",1.51%,60.58%,"1,081.06%"
,GoldCoin,,,,,,,
,Copperlark,,,,,,,
,Mincoin,,,,,,,
,Quark,,,,,,,
,Fastcoin,,,,,,,
,Tickets,,,,,,,
,TagCoin,,,,,,,
,Yacoin,,,,,,,
,Zetacoin,,,,,,,
,BitBar,,,,,,,
,Luckycoin,,,,,,,
,Franko,,,,,,,
,Bytecoin,,,,,,,
,Phoenixcoin,,,,,,,
,Junkcoin,,,,,,,
,CraftCoin,,,,,,,
