Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$62,990,143,284.10","$3,601.01","17,492,337 BTC","$5,582,489,559.53",-0.24%,-3.49%,1.01%
2.0,XRPXRP,XRP,"$13,181,215,053.67",$0.3212,"41,040,405,095 XRP","$407,205,880.81",-0.25%,-3.05%,0.17%
3.0,ETHEthereum,ETH,"$12,483,136,112.36",$119.47,"104,483,398 ETH","$2,964,108,269.11",-0.18%,-4.17%,1.60%
4.0,BCHBitcoin Cash,BCH,"$2,177,598,900.14",$123.89,"17,577,375 BCH","$269,797,873.88",-0.37%,-4.84%,-1.44%
5.0,EOSEOS,EOS,"$2,145,396,773.07",$2.3673,"906,245,118 EOS","$971,352,022.39",-0.10%,-4.76%,4.10%
6.0,USDTTether,USDT,"$2,050,721,693.05",$1.0171,"2,016,152,117 USDT","$4,389,435,191.33",0.03%,0.11%,-0.41%
7.0,XLMStellar,XLM,"$2,002,863,078.46",$0.1047,"19,129,175,285 XLM","$123,424,389.82",-0.60%,-3.23%,-0.13%
8.0,LTCLitecoin,LTC,"$1,873,953,844.26",$31.18,"60,108,075 LTC","$584,024,740.86",-0.47%,-4.41%,2.00%
9.0,TRXTRON,TRX,"$1,591,020,869.79",$0.02387,"66,653,472,407 TRX","$130,983,395.35",-0.75%,-2.73%,8.39%
10.0,BSVBitcoin SV,BSV,"$1,324,247,114.63",$75.34,"17,576,286 BSV","$57,177,839.10",-0.40%,-2.64%,-2.46%
11.0,ADACardano,ADA,"$1,127,226,431.18",$0.04348,"25,927,070,538 ADA","$26,755,021.63",-0.69%,-5.12%,7.31%
12.0,MIOTAIOTA,MIOTA,"$839,047,167.45",$0.3019,"2,779,530,283 MIOTA","$7,528,260.86",-0.40%,-5.06%,2.65%
13.0,BNBBinance Coin,BNB,"$838,848,751.24",$6.4939,"129,175,490 BNB","$49,479,089.80",-0.62%,-2.31%,14.76%
14.0,XMRMonero,XMR,"$738,232,142.70",$44.11,"16,735,001 XMR","$33,574,394.38",-0.41%,-4.58%,1.94%
15.0,DASHDash,DASH,"$599,612,574.23",$69.89,"8,579,273 DASH","$242,808,317.50",0.00%,-5.38%,-1.25%
16.0,XEMNEM,XEM,"$503,473,664.42",$0.05594,"8,999,999,999 XEM","$13,786,963.13",-0.89%,-3.10%,-0.01%
17.0,NEONeo,NEO,"$493,449,297.11",$7.5915,"65,000,000 NEO","$155,380,342.37",-0.78%,-6.29%,4.38%
18.0,ETCEthereum Classic,ETC,"$461,528,743.97",$4.2865,"107,671,273 ETC","$146,017,539.99",-0.63%,-2.97%,0.51%
19.0,USDCUSD Coin,USDC,"$327,478,050.12",$1.0167,"322,108,798 USDC","$14,934,092.26",0.06%,0.52%,0.45%
20.0,MKRMaker,MKR,"$325,636,994.58",$447.16,"728,228 MKR","$285,724.94",-1.32%,-5.31%,5.26%
,Zcash,,,,,,,,
,Tezos,,,,,,,,
,Waves,,,,,,,,
,Dogecoin,,,,,,,,
,VeChain,,,,,,,,
,TrueUSD,,,,,,,,
,Augur,,,,,,,,
,Bitcoin Gold,,,,,,,,
,Ontology,,,,,,,,
,Qtum,,,,,,,,
,OmiseGO,,,,,,,,
,Zilliqa,,,,,,,,
,Chainlink,,,,,,,,
,0x,,,,,,,,
,Basic Attention Token,,,,,,,,
,Decred,,,,,,,,
,Paxos Standard,,,,,,,,
,Lisk,,,,,,,,
,Bitcoin Diamond,,,,,,,,
,Nano,,,,,,,,
,Steem,,,,,,,,
,Bytecoin,,,,,,,,
,ICON,,,,,,,,
,DigiByte,,,,,,,,
,BitShares,,,,,,,,
,Revain,,,,,,,,
,Aeternity,,,,,,,,
,Verge,,,,,,,,
,Stratis,,,,,,,,
,Holo,,,,,,,,
,Siacoin,,,,,,,,
,Gemini Dollar,,,,,,,,
,Pundi X,,,,,,,,
,Status,,,,,,,,
,IOST,,,,,,,,
,Bytom,,,,,,,,
,Single Collateral DAI,,,,,,,,
,Komodo,,,,,,,,
,Populous,,,,,,,,
,Aurora,,,,,,,,
,Golem,,,,,,,,
,REPO,,,,,,,,
,Electroneum,,,,,,,,
,ODEM,,,,,,,,
,Cryptonex,,,,,,,,
,Factom,,,,,,,,
,Ardor,,,,,,,,
,Loopring,,,,,,,,
,TenX,,,,,,,,
,MaidSafeCoin,,,,,,,,
,Huobi Token,,,,,,,,
,Insight Chain,,,,,,,,
,HyperCash,,,,,,,,
,Waltonchain,,,,,,,,
,Project Pai,,,,,,,,
,Apollo Currency,,,,,,,,
,Power Ledger,,,,,,,,
,Mixin,,,,,,,,
,Ark,,,,,,,,
,PIVX,,,,,,,,
,Dentacoin,,,,,,,,
,Decentraland,,,,,,,,
,KuCoin Shares,,,,,,,,
,Aion,,,,,,,,
,GXChain,,,,,,,,
,MonaCoin,,,,,,,,
,MCO,,,,,,,,
,DigixDAO,,,,,,,,
,WAX,,,,,,,,
,ReddCoin,,,,,,,,
,Polymath,,,,,,,,
,Bancor,,,,,,,,
,STASIS EURO,,,,,,,,
,Nexo,,,,,,,,
,Zcoin,,,,,,,,
,THETA,,,,,,,,
,Wanchain,,,,,,,,
,Ravencoin,,,,,,,,
,Linkey,,,,,,,,
,MOAC,,,,,,,,
,QASH,,,,,,,,
,Crypto.com Coin,,,,,,,,
,Elastos,,,,,,,,
,aelf,,,,,,,,
,Metaverse ETP,,,,,,,,
,QuarkChain,,,,,,,,
,Loom Network,,,,,,,,
,MobileGo,,,,,,,,
,Nxt,,,,,,,,
,Bitcoin Private,,,,,,,,
,Optimal Shelf Availability Token,,,,,,,,
,Horizen,,,,,,,,
,Mithril,,,,,,,,
,FunFair,,,,,,,,
,Veritaseum,,,,,,,,
,Particl,,,,,,,,
,Enjin Coin,,,,,,,,
,NULS,,,,,,,,
,Nebulas,,,,,,,,
,SingularityNET,,,,,,,,
,Digitex Futures,,,,,,,,
,Credo,,,,,,,,
,Eidoo,,,,,,,,
,Syscoin,,,,,,,,
,Buggyra Coin Zero,,,,,,,,
,Obyte,,,,,,,,
,Endor Protocol,,,,,,,,
,WaykiChain,,,,,,,,
,Kin,,,,,,,,
,BOScoin,,,,,,,,
,Gas,,,,,,,,
,Kyber Network,,,,,,,,
,Nexus,,,,,,,,
,Enigma,,,,,,,,
,Voyager Token,,,,,,,,
