Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$185,618,174,383.96","$10,347.71","17,938,087 BTC","$12,043,433,567.35",0.05%,-0.10%,-0.65%
2.0,ETHEthereum,ETH,"$20,451,239,362.28",$189.79,"107,757,696 ETH","$6,222,874,780.04",0.32%,0.83%,5.10%
3.0,XRPXRP,XRP,"$11,256,389,684.49",$0.2616,"43,024,433,511 XRP","$859,761,209.59",0.16%,-0.11%,-0.23%
4.0,BCHBitcoin Cash,BCH,"$5,477,821,378.49",$304.23,"18,005,363 BCH","$1,205,048,956.28",0.04%,-0.33%,-0.30%
5.0,LTCLitecoin,LTC,"$4,448,378,326.73",$70.32,"63,263,417 LTC","$2,330,572,400.02",-0.21%,-0.67%,0.36%
6.0,USDTTether,USDT,"$4,123,580,641.88",$1.0039,"4,107,544,456 USDT","$14,415,596,813.45",-0.01%,0.16%,-0.16%
7.0,EOSEOS,EOS,"$3,790,231,233.46",$4.0673,"931,880,981 EOS","$1,883,036,239.19",0.18%,1.25%,9.42%
8.0,BNBBinance Coin,BNB,"$3,203,891,493.01",$20.60,"155,536,713 BNB","$151,856,190.12",-0.65%,-2.32%,-8.44%
9.0,BSVBitcoin SV,BSV,"$2,138,947,005.14",$119.80,"17,854,986 BSV","$288,012,018.57",-0.35%,-0.34%,-11.36%
10.0,XMRMonero,XMR,"$1,302,670,692.64",$75.69,"17,210,363 XMR","$57,294,721.53",0.27%,-0.02%,-2.03%
11.0,ADACardano,ADA,"$1,213,352,353.76",$0.0468,"25,927,070,538 ADA","$41,237,028.54",0.41%,0.31%,0.21%
12.0,XLMStellar,XLM,"$1,167,331,732.41",$0.05812,"20,083,653,210 XLM","$92,378,655.48",0.13%,0.26%,-4.00%
13.0,LEOUNUS SED LEO,LEO,"$1,068,257,352.08",$1.0688,"999,498,893 LEO","$5,601,370.06",0.03%,1.20%,-0.24%
14.0,TRXTRON,TRX,"$1,039,726,738.83",$0.01559,"66,682,072,191 TRX","$554,916,296.04",0.27%,-1.57%,-0.75%
15.0,HTHuobi Token,HT,"$1,000,118,436.29",$4.0706,"245,696,127 HT","$63,303,315.84",0.06%,-0.57%,0.62%
16.0,DASHDash,DASH,"$806,313,555.21",$89.19,"9,040,513 DASH","$218,503,109.37",-0.43%,-2.58%,1.50%
17.0,ETCEthereum Classic,ETC,"$711,078,641.53",$6.2651,"113,498,685 ETC","$445,611,167.61",0.02%,0.20%,-5.28%
18.0,MIOTAIOTA,MIOTA,"$693,517,441.87",$0.2495,"2,779,530,283 MIOTA","$3,340,807.45",0.11%,0.80%,2.77%
19.0,XTZTezos,XTZ,"$662,384,863.41",$1.0030,"660,373,612 XTZ","$9,925,483.76",-0.03%,0.39%,-6.23%
20.0,ATOMCosmos,ATOM,"$657,552,909.10",$3.4483,"190,688,439 ATOM","$189,272,973.54",0.15%,9.48%,32.30%
,Neo,,,,,,,,
,Chainlink,,,,,,,,
,Maker,,,,,,,,
,USD Coin,,,,,,,,
,NEM,,,,,,,,
,Ontology,,,,,,,,
,Crypto.com Coin,,,,,,,,
,INO COIN,,,,,,,,
,Zcash,,,,,,,,
,Dogecoin,,,,,,,,
,HedgeTrade,,,,,,,,
,Paxos Standard,,,,,,,,
,Decred,,,,,,,,
,v.systems,,,,,,,,
,Basic Attention Token,,,,,,,,
,ThoreNext,,,,,,,,
,VeChain,,,,,,,,
,Qtum,,,,,,,,
,TrueUSD,,,,,,,,
,Bitcoin Gold,,,,,,,,
,ThoreCoin,,,,,,,,
,ZB Token,,,,,,,,
,KuCoin Shares,,,,,,,,
,OmiseGO,,,,,,,,
,Ravencoin,,,,,,,,
,Karatgold Coin,,,,,,,,
,EDUCare,,,,,,,,
,BitTorrent,,,,,,,,
,Nano,,,,,,,,
,Clipper Coin,,,,,,,,
,Oasis City,,,,,,,,
,Insight Chain,,,,,,,,
,Augur,,,,,,,,
,Lisk,,,,,,,,
,Algorand,,,,,,,,
,Bitcoin Diamond,,,,,,,,
,Waves,,,,,,,,
,THETA,,,,,,,,
,Holo,,,,,,,,
,Mixin,,,,,,,,
,ICON,,,,,,,,
,0x,,,,,,,,
,MaidSafeCoin,,,,,,,,
,DigiByte,,,,,,,,
,HyperCash,,,,,,,,
,Quant,,,,,,,,
,Lambda,,,,,,,,
,NEXT,,,,,,,,
,BitShares,,,,,,,,
,MonaCoin,,,,,,,,
,Komodo,,,,,,,,
,Single Collateral DAI,,,,,,,,
,Pundi X,,,,,,,,
,Bytecoin,,,,,,,,
,IOST,,,,,,,,
,Bitbook Gambling,,,,,,,,
,Bytom,,,,,,,,
,ETERNAL TOKEN,,,,,,,,
,Siacoin,,,,,,,,
,Maximine Coin,,,,,,,,
,Flexacoin,,,,,,,,
,Qubitica,,,,,,,,
,Aurora,,,,,,,,
,Verge,,,,,,,,
,RSK Infrastructure Framework,,,,,,,,
,Beldex,,,,,,,,
,Energi,,,,,,,,
,Zilliqa,,,,,,,,
,Silverway,,,,,,,,
,Aeternity,,,,,,,,
,Ardor,,,,,,,,
,Golem,,,,,,,,
,Wixlar,,,,,,,,
,Enjin Coin,,,,,,,,
,OKB,,,,,,,,
,Metaverse ETP,,,,,,,,
,Synthetix Network Token,,,,,,,,
,Steem,,,,,,,,
,ABBC Coin,,,,,,,,
,MCO,,,,,,,,
,Status,,,,,,,,
,Nash Exchange,,,,,,,,
,Nexo,,,,,,,,
,Ecoreal Estate,,,,,,,,
,Zcoin,,,,,,,,
,Dynamic Trading Rights,,,,,,,,
,WINk,,,,,,,,
,Cryptoindex.com 100,,,,,,,,
,Beam,,,,,,,,
,XMax,,,,,,,,
,Waltonchain,,,,,,,,
,ReddCoin,,,,,,,,
,aelf,,,,,,,,
,Grin,,,,,,,,
,WAX,,,,,,,,
