Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$1,495,292,967.14",$133.48,"11,202,375 BTC",-1.16%,1.74%,9.61%
2,LTCLitecoin,LTC,"$58,458,016.95",$3.2489,"17,993,154 LTC",-0.37%,4.65%,-1.02%
3,NMCNamecoin,NMC,"$5,251,485.27",$0.9304,"5,644,600 NMC",-2.32%,-1.64%,8.05%
4,PPCPeercoin,PPC,"$3,612,498.62",$0.1895,"19,059,134 PPC",-6.42%,-9.94%,-9.29%
5,NVCNovacoin,NVC,"$1,225,595.40",$4.3087,"284,444 NVC",-2.43%,3.43%,18.24%
6,DVCDevcoin,DVC,"$915,607.00",$0.0002015,"4,542,720,000 DVC",-0.82%,1.54%,-1.00%
7,TRCTerracoin,TRC,"$842,448.90",$0.3123,"2,697,190 TRC",-3.42%,-9.58%,-12.35%
8,FRCFreicoin,FRC,"$687,220.00",$0.0327,"21,014,232 FRC",-1.19%,5.72%,-5.50%
9,FTCFeathercoin,FTC,"$654,331.38",$0.09878,"6,624,450 FTC",-2.47%,-5.59%,-21.17%
10,CNCCHNCoin,CNC,"$374,915.45",$0.07341,"5,106,866 CNC",-2.95%,-1.54%,-22.36%
11,MNCMincoin,MNC,"$130,393.11",$0.1218,"1,070,899 MNC",-9.23%,11.89%,-37.73%
12,IXCIxcoin,IXC,"$127,367.86",$0.01007,"12,653,618 IXC",-1.19%,2.98%,-15.45%
13,BQCBBQCoin,BQC,"$114,258.29",$0.006407,"17,833,240 BQC",-2.35%,-6.72%,-11.35%
14,WDCWorldCoin,WDC,"$61,369.21",$0.02565,"2,392,562 WDC",-0.10%,-10.51%,--
15,BTBBitBar,BTB,"$54,030.08",$17.36,"3,113 BTB",-1.19%,-2.67%,-56.63%
