Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$1,281,982,625.00",$115.00,"11,147,675 BTC",-0.03%,-0.41%,-1.88%
2,LTCLitecoin,LTC,"$57,513,319.09",$3.2694,"17,591,130 LTC",0.17%,-2.61%,-9.91%
3,NMCNamecoin,NMC,"$4,674,413.40",$0.8464,"5,522,700 NMC",0.02%,0.61%,-26.82%
4,PPCPeercoin,PPC,"$4,585,556.07",$0.2427,"18,897,820 PPC",-1.20%,-4.88%,-21.46%
5,NVCNovacoin,NVC,"$984,531.38",$3.5201,"279,685 NVC",-0.10%,-0.28%,-4.43%
6,DVCDevcoin,DVC,"$983,447.61",$0.0002208,"4,454,020,096 DVC",0.58%,3.67%,-8.65%
7,TRCTerracoin,TRC,"$954,262.84",$0.3807,"2,506,930 TRC",-1.02%,-5.49%,-33.23%
8,FTCFeathercoin,FTC,"$820,221.45",$0.1253,"6,543,450 FTC",-0.48%,-5.69%,-63.30%
9,FRCFreicoin,FRC,"$748,241.76",$0.03596,"20,807,988 FRC",0.02%,-20.35%,-59.81%
10,CNCCHNCoin,CNC,"$489,370.40",$0.0966,"5,065,946 CNC",2.83%,-11.26%,--
11,MNCMincoin,MNC,"$247,203.65",$0.237,"1,042,987 MNC",-0.03%,8.04%,90.65%
12,BQCBBQCoin,BQC,"$156,410.47",$0.0092,"17,001,138 BQC",-2.70%,-15.27%,--
13,IXCIxcoin,IXC,"$147,029.97",$0.01162,"12,653,618 IXC",-0.33%,-16.83%,--
14,BTBBitBar,BTB,"$82,905.80",$28.86,"2,872 BTB",13.72%,35.30%,--
