Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$1,373,839,383.45",$122.29,"11,234,075 BTC",1.00%,-5.23%,-9.13%
2,LTCLitecoin,LTC,"$49,625,738.78",$2.7271,"18,197,154 LTC",0.85%,-3.62%,-16.04%
3,NMCNamecoin,NMC,"$4,038,794.14",$0.7093,"5,694,100 NMC",0.82%,-5.36%,-24.94%
4,PPCPeercoin,PPC,"$2,899,779.44",$0.1516,"19,122,498 PPC",1.39%,-5.69%,-23.08%
5,NVCNovacoin,NVC,"$1,117,980.01",$3.9048,"286,310 NVC",0.93%,-6.74%,-10.46%
6,DVCDevcoin,DVC,"$674,189.93",$0.0001467,"4,594,120,192 DVC",1.00%,-0.73%,-27.32%
7,TRCTerracoin,TRC,"$662,838.49",$0.2385,"2,779,550 TRC",1.00%,-11.96%,-25.29%
8,FTCFeathercoin,FTC,"$545,794.55",$0.08194,"6,661,250 FTC",2.08%,-4.83%,-18.23%
9,FRCFreicoin,FRC,"$417,750.51",$0.01981,"21,086,442 FRC",1.00%,-20.39%,-39.99%
10,CNCCHNCoin,CNC,"$287,451.99",$0.05625,"5,109,858 CNC",1.00%,-3.95%,-26.10%
11,IXCIxcoin,IXC,"$86,656.55",$0.006848,"12,653,618 IXC",1.00%,-8.33%,-33.19%
12,MNCMincoin,MNC,"$78,887.29",$0.07338,"1,075,103 MNC",1.00%,-0.24%,-42.88%
13,BQCBBQCoin,BQC,"$76,751.02",$0.004207,"18,244,294 BQC",0.70%,-2.35%,-35.14%
14,BTBBitBar,BTB,"$52,295.84",$15.91,"3,287 BTB",0.97%,-5.23%,-11.04%
