Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$153,725,486,067.29","$8,673.22","17,724,162 BTC","$26,677,970,091.50",0.48%,7.64%,8.00%
2.0,ETHEthereum,ETH,"$28,371,943,145.16",$267.07,"106,234,249 ETH","$9,664,267,730.90",0.56%,5.92%,4.58%
3.0,XRPXRP,XRP,"$17,200,982,209.75",$0.4084,"42,116,677,673 XRP","$1,848,938,650.06",0.48%,5.56%,0.28%
4.0,BCHBitcoin Cash,BCH,"$7,706,274,016.54",$432.84,"17,803,950 BCH","$2,311,867,234.38",0.55%,6.40%,4.41%
5.0,LTCLitecoin,LTC,"$6,902,346,395.21",$111.42,"61,949,676 LTC","$5,168,378,348.60",0.83%,8.20%,18.89%
6.0,EOSEOS,EOS,"$6,309,219,233.06",$6.9085,"913,260,389 EOS","$2,843,299,025.22",1.07%,7.80%,8.55%
7.0,BNBBinance Coin,BNB,"$4,814,769,247.91",$34.10,"141,175,490 BNB","$611,208,603.91",-1.35%,-2.14%,17.62%
8.0,USDTTether,USDT,"$3,092,734,489.90",$1.0099,"3,062,545,090 USDT","$21,971,964,413.13",0.15%,0.57%,0.35%
9.0,XLMStellar,XLM,"$2,569,365,015.99",$0.1331,"19,298,944,923 XLM","$400,434,267.71",0.89%,5.87%,-4.23%
10.0,ADACardano,ADA,"$2,230,096,451.63",$0.08601,"25,927,070,538 ADA","$111,190,328.72",0.84%,6.87%,1.38%
11.0,TRXTRON,TRX,"$2,095,788,311.21",$0.03143,"66,682,072,191 TRX","$1,145,964,555.89",0.28%,11.73%,9.38%
12.0,BSVBitcoin SV,BSV,"$1,888,474,994.25",$106.08,"17,801,636 BSV","$395,277,783.69",-0.99%,14.37%,64.68%
13.0,XMRMonero,XMR,"$1,564,370,682.15",$92.00,"17,004,919 XMR","$78,729,256.21",0.47%,5.77%,4.38%
14.0,DASHDash,DASH,"$1,435,374,453.26",$162.60,"8,827,639 DASH","$959,012,638.21",0.03%,4.13%,-0.38%
15.0,MIOTAIOTA,MIOTA,"$1,140,996,815.89",$0.4105,"2,779,530,283 MIOTA","$29,678,442.25",0.84%,6.67%,-0.80%
16.0,XTZTezos,XTZ,"$1,102,824,936.94",$1.6650,"662,350,128 XTZ","$5,990,544.91",0.90%,6.03%,-6.11%
17.0,ATOMCosmos,ATOM,"$859,734,892.88",$4.5086,"190,688,439 ATOM","$49,349,631.95",0.26%,2.42%,-7.25%
18.0,ETCEthereum Classic,ETC,"$848,537,727.69",$7.6616,"110,751,478 ETC","$626,354,051.31",0.50%,4.97%,-0.25%
19.0,XEMNEM,XEM,"$791,940,061.98",$0.08799,"8,999,999,999 XEM","$25,678,002.55",1.27%,5.49%,-4.67%
20.0,NEONeo,NEO,"$778,932,349.77",$11.98,"65,000,000 NEO","$391,679,153.20",0.67%,4.36%,4.16%
,Maker,,,,,,,,
,Ontology,,,,,,,,
,Zcash,,,,,,,,
,Basic Attention Token,,,,,,,,
,Crypto.com Coin,,,,,,,,
,Bitcoin Gold,,,,,,,,
,VeChain,,,,,,,,
,Chainlink,,,,,,,,
,Dogecoin,,,,,,,,
,USD Coin,,,,,,,,
,BitTorrent,,,,,,,,
,OmiseGO,,,,,,,,
,Qtum,,,,,,,,
