Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$1,288,693,216.22",$115.91,"11,118,050 BTC",0.43%,2.97%,-13.81%
2,LTCLitecoin,LTC,"$62,298,217.32",$3.5909,"17,348,954 LTC",0.10%,2.87%,-16.72%
3,NMCNamecoin,NMC,"$6,290,543.05",$1.1510,"5,465,350 NMC",-1.19%,8.91%,1.64%
4,PPCPeercoin,PPC,"$5,718,446.46",$0.3037,"18,830,240 PPC",0.31%,2.61%,-22.20%
5,FTCFeathercoin,FTC,"$2,017,436.23",$0.313,"6,444,650 FTC",-12.81%,-29.71%,--
6,FRCFreicoin,FRC,"$1,627,438.51",$0.08114,"20,057,908 FRC",-14.89%,-23.15%,--
7,TRCTerracoin,TRC,"$1,367,162.39",$0.568,"2,407,150 TRC",1.13%,-3.05%,-12.34%
8,DVCDevcoin,DVC,"$1,052,081.53",$0.0002388,"4,406,170,112 DVC",0.63%,-12.41%,-27.21%
9,NVCNovacoin,NVC,"$1,015,804.46",$3.6871,"275,503 NVC",1.26%,5.17%,-11.72%
10,MNCMincoin,MNC,"$118,657.23",$0.1159,"1,023,701 MNC",0.31%,-60.48%,--
