Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,080,918,189.52",$94.69,"11,415,175 BTC",1.13%,-2.54%,26.85%
2.0,LTCLitecoin,LTC,"$56,527,626.50",$2.9080,"19,438,854 LTC",-0.83%,1.11%,11.13%
3.0,NMCNamecoin,NMC,"$3,241,516.48",$0.5397,"6,005,693 NMC",2.86%,-1.36%,24.06%
4.0,PPCPeercoin,PPC,"$3,141,319.74",$0.16,"19,629,768 PPC",1.43%,8.77%,22.03%
5.0,NVCNovacoin,NVC,"$1,230,893.18",$3.9780,"309,426 NVC",1.21%,-3.64%,41.53%
6.0,FTCFeathercoin,FTC,"$825,730.01",$0.08238,"10,023,250 FTC",-0.30%,-4.75%,10.37%
7.0,TRCTerracoin,TRC,"$497,606.33",$0.1562,"3,184,870 TRC",2.06%,-3.91%,-8.87%
8.0,DVCDevcoin,DVC,"$341,246.54",$0.00007007,"4,869,969,920 DVC",1.23%,-5.68%,23.14%
9.0,DGCDigitalcoin,DGC,"$268,640.90",$0.05628,"4,773,045 DGC",0.14%,-4.72%,167.06%
10.0,FRCFreicoin,FRC,"$257,105.00",$0.01136,"22,626,586 FRC",3.81%,-10.03%,9.22%
11.0,WDCWorldCoin,WDC,"$114,748.74",$0.01032,"11,116,584 WDC",1.23%,-5.35%,79.92%
12.0,XPMPrimecoin,XPM,"$112,816.35",$0.1562,"722,068 XPM",1.23%,-54.05%,--
13.0,YACYacoin,YAC,"$98,606.29",$0.02263,"4,357,090 YAC",1.23%,-0.30%,-9.47%
14.0,BQCBBQCoin,BQC,"$92,091.19",$0.00445,"20,692,356 BQC",0.89%,12.17%,37.79%
15.0,PXCPhoenixcoin,PXC,"$70,514.40",$0.02193,"3,216,050 PXC",-15.55%,-25.62%,84.88%
16.0,MECMegacoin,MEC,"$59,963.61",$0.004929,"12,166,250 MEC",0.12%,-8.56%,53.50%
17.0,IXCIxcoin,IXC,"$51,164.72",$0.003614,"14,155,922 IXC",1.13%,-11.80%,14.97%
18.0,CNCCHNCoin,CNC,"$49,271.49",$0.009374,"5,255,938 CNC",1.23%,23.62%,-27.43%
19.0,MNCMincoin,MNC,"$26,893.62",$0.02274,"1,182,798 MNC",1.23%,0.44%,-26.00%
20.0,LKYLuckycoin,LKY,"$21,326.13",$0.003882,"5,493,104 LKY",3.61%,-3.72%,45.39%
,Fastcoin,,,,,,,
,Bytecoin,,,,,,,
,Argentum,,,,,,,
,Infinitecoin,,,,,,,
,BitBar,,,,,,,
,Bitgem,,,,,,,
,CraftCoin,,,,,,,
,GoldCoin,,,,,,,
,Memecoin,,,,,,,
,Krugercoin,,,,,,,
,Franko,,,,,,,
,AlphaCoin,,,,,,,
,Nibble,,,,,,,
,Bottlecaps,,,,,,,
,StableCoin,,,,,,,
,Hypercoin,,,,,,,
,Elacoin,,,,,,,
,Noirbits,,,,,,,
