Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$848,838,935.56",$74.56,"11,384,475 BTC",1.27%,7.20%,-23.21%
2.0,LTCLitecoin,LTC,"$51,099,940.90",$2.6566,"19,235,004 LTC",1.16%,6.87%,-11.42%
3.0,NMCNamecoin,NMC,"$2,598,102.11",$0.4369,"5,946,293 NMC",-0.42%,-3.99%,-13.82%
4.0,PPCPeercoin,PPC,"$2,582,887.38",$0.132,"19,571,310 PPC",0.99%,-2.24%,7.65%
5.0,NVCNovacoin,NVC,"$867,500.25",$2.8378,"305,695 NVC",0.30%,1.72%,-8.67%
6.0,FTCFeathercoin,FTC,"$711,870.60",$0.07531,"9,452,950 FTC",0.12%,3.21%,-2.24%
7.0,TRCTerracoin,TRC,"$519,200.27",$0.167,"3,108,670 TRC",-0.65%,-8.89%,28.08%
8.0,DVCDevcoin,DVC,"$276,948.24",$0.00005741,"4,823,869,952 DVC",1.30%,5.72%,-22.65%
9.0,FRCFreicoin,FRC,"$223,994.42",$0.01007,"22,244,892 FRC",-3.68%,24.75%,-20.23%
10.0,YACYacoin,YAC,"$108,880.76",$0.02572,"4,232,722 YAC",1.30%,14.64%,7.09%
11.0,DGCDigitalcoin,DGC,"$90,011.67",$0.02155,"4,177,233 DGC",7.08%,17.77%,-19.13%
12.0,CNCCHNCoin,CNC,"$70,529.30",$0.01342,"5,255,146 CNC",-2.34%,-9.87%,61.55%
13.0,BQCBBQCoin,BQC,"$65,506.03",$0.003229,"20,289,954 BQC",1.27%,3.12%,-17.46%
14.0,WDCWorldCoin,WDC,"$56,083.13",$0.005711,"9,819,541 WDC",1.27%,6.35%,-28.45%
15.0,IXCIxcoin,IXC,"$46,861.08",$0.003335,"14,050,802 IXC",1.27%,40.63%,-9.50%
16.0,MECMegacoin,MEC,"$38,199.20",$0.00314,"12,166,250 MEC",2.60%,--,--
17.0,MNCMincoin,MNC,"$34,857.44",$0.02992,"1,165,200 MNC",1.30%,25.61%,-20.04%
18.0,PXCPhoenixcoin,PXC,"$34,584.63",$0.01186,"2,917,250 PXC",0.12%,10.99%,--
19.0,BTGBitgem,BTG,"$25,588.54",$1.4599,"17,528 BTG",1.28%,30.68%,--
20.0,BTBBitBar,BTB,"$15,340.53",$3.7281,"4,115 BTB",1.27%,-5.94%,-36.58%
,Luckycoin,,,,,,,
,CraftCoin,,,,,,,
,Fastcoin,,,,,,,
,GoldCoin,,,,,,,
,Bytecoin,,,,,,,
,Krugercoin,,,,,,,
,AlphaCoin,,,,,,,
,Argentum,,,,,,,
,Memecoin,,,,,,,
,Bottlecaps,,,,,,,
,StableCoin,,,,,,,
,Hypercoin,,,,,,,
,Elacoin,,,,,,,
,Nibble,,,,,,,
,Franko,,,,,,,
,Noirbits,,,,,,,
,AmericanCoin,,,,,,,
,Doubloons,,,,,,,
,EZCoin,,,,,,,
,Junkcoin,,,,,,,
