Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$1,126,642,500.00",$100.00,"11,266,425 BTC",-2.04%,-8.00%,-16.89%
2,LTCLitecoin,LTC,"$43,858,288.59",$2.3830,"18,404,654 LTC",-1.66%,-7.44%,-11.80%
3,NMCNamecoin,NMC,"$3,311,798.26",$0.576,"5,749,650 NMC",-2.41%,-6.50%,-17.73%
4,PPCPeercoin,PPC,"$2,267,778.06",$0.118,"19,218,458 PPC",-1.20%,-1.33%,-20.40%
5,NVCNovacoin,NVC,"$953,097.98",$3.3050,"288,381 NVC",-1.89%,-6.48%,-14.65%
6,FTCFeathercoin,FTC,"$852,774.31",$0.126,"6,768,050 FTC",0.33%,17.16%,59.03%
7,TRCTerracoin,TRC,"$556,761.98",$0.195,"2,855,190 TRC",-2.29%,-3.18%,-17.77%
8,DVCDevcoin,DVC,"$538,224.93",$0.000116,"4,639,869,952 DVC",-2.06%,-11.04%,-21.43%
9,FRCFreicoin,FRC,"$344,283.64",$0.01613,"21,345,628 FRC",-2.06%,-2.76%,-19.99%
10,CNCCHNCoin,CNC,"$260,701.49",$0.051,"5,111,794 CNC",-1.28%,-3.96%,-8.39%
11,BQCBBQCoin,BQC,"$98,890.42",$0.0053,"18,658,570 BQC",-3.87%,-3.45%,27.98%
12,YACYacoin,YAC,"$98,315.19",$0.0302,"3,255,470 YAC",-4.95%,--,--
13,DGCDigitalcoin,DGC,"$70,346.91",$0.0392,"1,794,564 DGC",3.10%,--,--
14,WDCWorldCoin,WDC,"$60,438.16",$0.01287,"4,696,050 WDC",-2.27%,--,--
15,BTBBitBar,BTB,"$45,586.21",$13.10,"3,479 BTB",-2.07%,-9.71%,-16.29%
16,MNCMincoin,MNC,"$44,972.33",$0.0411,"1,094,217 MNC",-2.06%,-27.57%,-42.74%
17,MEMMemecoin,MEM,"$14,865.88",$0.001715,"8,668,150 MEM",-0.13%,--,--
18,AMCAmericanCoin,AMC,"$4,150.01",$0.004178,"993,300 AMC",-2.57%,--,--
19,FRKFranko,FRK,"$2,772.80",$0.15,"18,485 FRK",-2.59%,--,--
20,ELCElacoin,ELC,$768.13,$0.036,"21,337 ELC",-18.23%,--,--
