Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1,BTCBitcoin,BTC,"$1,363,205,019.90",$121.99,"11,174,725 BTC",-0.35%,-1.14%,5.70%
2,LTCLitecoin,LTC,"$58,760,675.05",$3.3035,"17,787,454 LTC",-0.80%,-0.19%,0.98%
3,NMCNamecoin,NMC,"$4,789,082.16",$0.8576,"5,584,350 NMC",0.94%,5.72%,0.51%
4,PPCPeercoin,PPC,"$3,934,412.36",$0.2074,"18,971,716 PPC",-1.26%,15.47%,-14.73%
5,NVCNovacoin,NVC,"$1,020,004.70",$3.6182,"281,908 NVC",-1.48%,-2.24%,1.88%
6,TRCTerracoin,TRC,"$934,991.48",$0.3587,"2,606,970 TRC",-0.88%,-4.51%,-6.12%
7,DVCDevcoin,DVC,"$906,212.77",$0.0002013,"4,502,170,112 DVC",0.08%,3.91%,-8.15%
8,FTCFeathercoin,FTC,"$833,818.95",$0.1269,"6,572,250 FTC",0.34%,-0.47%,0.72%
9,FRCFreicoin,FRC,"$711,435.19",$0.03416,"20,827,516 FRC",-0.34%,7.07%,-7.13%
10,CNCCHNCoin,CNC,"$485,058.81",$0.09515,"5,097,714 CNC",0.76%,-4.04%,-0.39%
11,MNCMincoin,MNC,"$207,096.26",$0.1952,"1,061,031 MNC",-0.35%,-12.13%,-17.93%
12,IXCIxcoin,IXC,"$154,515.88",$0.01221,"12,653,618 IXC",8.43%,20.52%,-0.55%
13,BTBBitBar,BTB,"$128,439.08",$42.70,"3,008 BTB",15.43%,-2.16%,21.68%
14,BQCBBQCoin,BQC,"$123,231.29",$0.007075,"17,416,812 BQC",-6.78%,-5.29%,-24.13%
