Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$2,339,831,246.08",$196.44,"11,911,175 BTC",1.65%,10.67%,12.45%
2.0,XRPXRP,XRP,"$53,493,201.51",$0.006842,"7,817,889,792 XRP",1.65%,12.30%,2.00%
3.0,LTCLitecoin,LTC,"$47,869,216.16",$2.1294,"22,480,042 LTC",-1.58%,-3.23%,10.98%
4.0,PPCPeercoin,PPC,"$7,776,359.18",$0.3772,"20,617,934 PPC",1.20%,17.38%,18.14%
5.0,NMCNamecoin,NMC,"$3,223,967.80",$0.4538,"7,104,750 NMC",0.53%,4.22%,-3.00%
6.0,NVCNovacoin,NVC,"$1,922,215.12",$4.1626,"461,786 NVC",1.60%,3.28%,-7.47%
7.0,XPMPrimecoin,XPM,"$1,801,599.18",$0.6561,"2,745,799 XPM",-1.22%,-4.76%,-9.70%
8.0,FTCFeathercoin,FTC,"$1,548,705.52",$0.07465,"20,747,000 FTC",1.65%,-3.94%,6.12%
9.0,TRCTerracoin,TRC,"$450,862.30",$0.11,"4,098,510 TRC",-0.88%,10.83%,-2.62%
10.0,WDCWorldCoin,WDC,"$395,415.54",$0.01424,"27,764,240 WDC",1.64%,--,-19.40%
11.0,DVCDevcoin,DVC,"$306,421.17",$0.000055,"5,570,970,112 DVC",1.65%,10.74%,12.17%
12.0,MECMegacoin,MEC,"$256,422.86",$0.01271,"20,172,300 MEC",-3.57%,9.47%,--
13.0,CBXBullion,CBX,"$243,761.41",$0.279,"873,833 CBX",1.65%,11.12%,--
14.0,MNCMincoin,MNC,"$160,395.01",$0.1177,"1,362,460 MNC",1.12%,-12.08%,-36.80%
15.0,FRCFreicoin,FRC,"$149,092.98",$0.004911,"30,358,986 FRC",1.65%,-8.65%,-24.94%
16.0,IXCIxcoin,IXC,"$143,943.59",$0.008859,"16,247,474 IXC",1.65%,-16.76%,-18.37%
17.0,ANCAnoncoin,ANC,"$129,781.15",$0.2729,"475,641 ANC",2.39%,13.87%,--
18.0,DGCDigitalcoin,DGC,"$124,639.90",$0.01243,"10,029,932 DGC",1.42%,-8.60%,--
19.0,GLCGoldCoin,GLC,"$92,268.49",$0.003324,"27,760,236 GLC",4.13%,10.40%,--
20.0,IFCInfinitecoin,IFC,"$62,399.56",$0.00000073,"85,011,726,336 IFC",0.75%,-37.05%,--
,BBQCoin,,,,,,,
,Zetacoin,,,,,,,
,Franko,,,,,,,
,Quark,,,,,,,
,Yacoin,,,,,,,
,Luckycoin,,,,,,,
,BitBar,,,,,,,
,Bytecoin,,,,,,,
,Junkcoin,,,,,,,
,GameCoin,,,,,,,
,CraftCoin,,,,,,,
,Emerald Crypto,,,,,,,
