Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$9,627,500,053.68",$795.87,"12,096,825 BTC",0.71%,13.03%,-17.53%
2.0,LTCLitecoin,LTC,"$648,135,180.44",$27.27,"23,763,442 LTC",0.58%,16.09%,-19.39%
3.0,XRPXRP,XRP,"$285,005,350.24",$0.03646,"7,817,889,792 XRP",0.03%,9.32%,-32.65%
4.0,PPCPeercoin,PPC,"$84,643,503.94",$4.0510,"20,894,584 PPC",2.93%,19.63%,-35.10%
5.0,NMCNamecoin,NMC,"$46,654,461.57",$6.2874,"7,420,343 NMC",1.89%,16.97%,-23.83%
6.0,QRKQuark,QRK,"$26,259,005.81",$0.1067,"246,040,928 QRK",-1.34%,25.57%,-56.01%
7.0,WDCWorldCoin,WDC,"$26,148,372.94",$0.7601,"34,401,424 WDC",2.32%,44.09%,62.47%
8.0,MECMegacoin,MEC,"$21,083,628.39",$0.9948,"21,193,376 MEC",-3.49%,1.18%,-36.79%
9.0,XPMPrimecoin,XPM,"$12,090,897.08",$3.5018,"3,452,739 XPM",3.15%,25.59%,-34.68%
10.0,FTCFeathercoin,FTC,"$11,388,199.45",$0.4457,"25,552,000 FTC",2.71%,30.07%,-52.87%
11.0,NVCNovacoin,NVC,"$8,671,710.80",$16.94,"512,025 NVC",-0.09%,12.59%,-21.38%
12.0,ZETZetacoin,ZET,"$5,725,811.69",$0.03621,"158,118,800 ZET",19.01%,324.67%,7.47%
13.0,FRCFreicoin,FRC,"$4,514,680.76",$0.1326,"34,035,136 FRC",0.53%,-0.96%,-59.39%
14.0,ANCAnoncoin,ANC,"$4,147,469.68",$7.2423,"572,673 ANC",2.63%,47.92%,15.99%
15.0,NXTNxt,NXT,"$3,979,349.97",$0.003979,"1,000,000,000 NXT",-1.95%,-34.41%,--
16.0,IFCInfinitecoin,IFC,"$3,552,186.57",$0.00004016,"88,460,771,328 IFC",-1.24%,75.22%,-35.95%
17.0,TRCTerracoin,TRC,"$2,940,547.25",$0.6447,"4,561,430 TRC",1.74%,31.47%,-42.60%
18.0,CBXBullion,CBX,"$2,915,897.78",$3.1835,"915,947 CBX",-0.84%,18.84%,-32.09%
19.0,SBCStableCoin,SBC,"$2,486,227.64",$0.2945,"8,443,005 SBC",7.77%,--,131.53%
20.0,BQCBBQCoin,BQC,"$2,272,191.51",$0.08037,"28,269,910 BQC",-1.39%,51.75%,-62.25%
,Devcoin,,,,,,,
,GoldCoin,,,,,,,
,Ixcoin,,,,,,,
,Digitalcoin,,,,,,,
,Copperlark,,,,,,,
,Fastcoin,,,,,,,
,Tickets,,,,,,,
,Yacoin,,,,,,,
,I0Coin,,,,,,,
,Datacoin,,,,,,,
,FLO,,,,,,,
,TagCoin,,,,,,,
,BitBar,,,,,,,
,Mincoin,,,,,,,
,Franko,,,,,,,
,Luckycoin,,,,,,,
,Bytecoin,,,,,,,
,Phoenixcoin,,,,,,,
,Argentum,,,,,,,
,CraftCoin,,,,,,,
,Junkcoin,,,,,,,
,Elacoin,,,,,,,
