Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,610,215,304.37",$138.34,"11,639,550 BTC",0.09%,1.35%,13.16%
2.0,LTCLitecoin,LTC,"$53,930,594.93",$2.5842,"20,869,430 LTC",-0.61%,-0.85%,-0.35%
3.0,XRPXRP,XRP,"$45,239,802.42",$0.005787,"7,817,889,792 XRP",0.07%,1.86%,-5.58%
4.0,NMCNamecoin,NMC,"$3,689,125.25",$0.5686,"6,488,343 NMC",-0.31%,-2.39%,-7.68%
5.0,PPCPeercoin,PPC,"$3,593,391.71",$0.1785,"20,135,716 PPC",0.94%,--,3.83%
6.0,FTCFeathercoin,FTC,"$2,258,187.28",$0.1508,"14,975,650 FTC",0.16%,-2.02%,15.86%
7.0,NVCNovacoin,NVC,"$1,552,776.08",$4.0672,"381,781 NVC",0.13%,4.97%,-12.34%
8.0,XPMPrimecoin,XPM,"$1,167,915.89",$0.6225,"1,876,088 XPM",-1.20%,10.60%,-16.79%
9.0,TRCTerracoin,TRC,"$668,094.33",$0.1826,"3,658,610 TRC",1.63%,--,4.97%
10.0,IFCInfinitecoin,IFC,"$369,518.55",$0.00000486,"76,056,100,864 IFC",3.95%,5.03%,-18.58%
11.0,DVCDevcoin,DVC,"$302,074.70",$0.0000581,"5,198,969,856 DVC",0.16%,8.97%,-2.06%
12.0,FRCFreicoin,FRC,"$214,535.40",$0.008453,"25,381,074 FRC",0.09%,1.33%,-0.02%
13.0,ANCAnoncoin,ANC,"$174,151.27",$0.3995,"435,895 ANC",0.24%,1.62%,162.34%
14.0,DGCDigitalcoin,DGC,"$163,789.00",$0.02075,"7,892,013 DGC",0.16%,-1.45%,-37.26%
15.0,CBXBullion,CBX,"$135,838.83",$0.1868,"727,332 CBX",5.19%,11.43%,22.37%
16.0,GLCGoldCoin,GLC,"$134,760.72",$0.005121,"26,313,530 GLC",-2.35%,4.16%,-27.67%
17.0,IXCIxcoin,IXC,"$113,218.36",$0.007457,"15,183,794 IXC",0.24%,6.97%,19.80%
18.0,MECMegacoin,MEC,"$106,957.77",$0.006087,"17,571,624 MEC",2.29%,0.02%,3.80%
19.0,MNCMincoin,MNC,"$91,338.40",$0.07071,"1,291,813 MNC",0.09%,-9.20%,60.19%
20.0,MEMMemecoin,MEM,"$91,218.32",$0.002891,"31,548,150 MEM",32.34%,93.09%,256.47%
,WorldCoin,,,,,,,
,CHNCoin,,,,,,,
,Quark,,,,,,,
,Yacoin,,,,,,,
,XenCoin,,,,,,,
,Fastcoin,,,,,,,
,Phoenixcoin,,,,,,,
,BBQCoin,,,,,,,
,GameCoin,,,,,,,
,Franko,,,,,,,
,Bottlecaps,,,,,,,
,AlphaCoin,,,,,,,
,Bytecoin,,,,,,,
,EZCoin,,,,,,,
,Luckycoin,,,,,,,
,BitBar,,,,,,,
,GlobalCoin,,,,,,,
,Doubloons,,,,,,,
,Krugercoin,,,,,,,
,Argentum,,,,,,,
,Nibble,,,,,,,
,CasinoCoin,,,,,,,
,StableCoin,,,,,,,
,CraftCoin,,,,,,,
,Hypercoin,,,,,,,
,GIL,,,,,,,
,Spots,,,,,,,
,Elacoin,,,,,,,
,Emerald Crypto,,,,,,,
