Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,522,686,975.00",$129.00,"11,803,775 BTC",0.16%,0.41%,-5.84%
2.0,XRPXRP,XRP,"$76,764,377.04",$0.009819,"7,817,889,792 XRP",0.01%,3.44%,-22.34%
3.0,LTCLitecoin,LTC,"$47,387,871.44",$2.1672,"21,865,942 LTC",0.39%,0.81%,-6.14%
4.0,PPCPeercoin,PPC,"$9,526,224.06",$0.4644,"20,512,972 PPC",-4.58%,-7.52%,77.51%
5.0,NMCNamecoin,NMC,"$3,921,037.64",$0.5676,"6,908,100 NMC",-0.11%,1.73%,12.21%
6.0,FTCFeathercoin,FTC,"$2,182,887.18",$0.1187,"18,393,050 FTC",-0.57%,3.77%,4.25%
7.0,NVCNovacoin,NVC,"$1,764,749.40",$4.1796,"422,229 NVC",-1.68%,3.86%,4.67%
8.0,XPMPrimecoin,XPM,"$807,006.99",$0.3354,"2,406,103 XPM",0.67%,3.54%,-9.51%
9.0,TRCTerracoin,TRC,"$649,240.25",$0.1664,"3,901,450 TRC",0.28%,1.19%,-5.22%
10.0,CBXBullion,CBX,"$282,231.13",$0.3363,"839,108 CBX",-0.97%,4.32%,1.67%
11.0,DVCDevcoin,DVC,"$238,140.94",$0.00004386,"5,429,570,048 DVC",0.15%,-7.73%,-11.13%
12.0,MECMegacoin,MEC,"$228,515.23",$0.01179,"19,387,500 MEC",-6.03%,-11.26%,--
13.0,IXCIxcoin,IXC,"$219,655.71",$0.01393,"15,772,658 IXC",0.15%,-2.94%,-36.84%
14.0,WDCWorldCoin,WDC,"$203,604.31",$0.008332,"24,436,104 WDC",7.57%,21.41%,51.33%
15.0,MNCMincoin,MNC,"$183,516.39",$0.1355,"1,354,864 MNC",0.15%,-3.42%,-22.26%
16.0,IFCInfinitecoin,IFC,"$166,301.52",$0.00000206,"80,713,220,096 IFC",-1.53%,-0.61%,--
17.0,DGCDigitalcoin,DGC,"$163,081.85",$0.01755,"9,290,126 DGC",-0.19%,11.96%,-0.63%
18.0,ANCAnoncoin,ANC,"$120,598.86",$0.2585,"466,474 ANC",0.15%,-2.87%,--
19.0,FRCFreicoin,FRC,"$113,663.23",$0.003999,"28,422,914 FRC",0.15%,15.25%,2.37%
20.0,GLCGoldCoin,GLC,"$80,989.97",$0.002971,"27,261,364 GLC",0.16%,-4.33%,-30.27%
,Zetacoin,,,,,,,
,Quark,,,,,,,
,Yacoin,,,,,,,
,SecureCoin,,,,,,,
,Fastcoin,,,,,,,
,BBQCoin,,,,,,,
,Franko,,,,,,,
,Bytecoin,,,,,,,
,GameCoin,,,,,,,
,Argentum,,,,,,,
,Phoenixcoin,,,,,,,
,BitBar,,,,,,,
,Junkcoin,,,,,,,
,Bitgem,,,,,,,
,CraftCoin,,,,,,,
,Elacoin,,,,,,,
,Hypercoin,,,,,,,
,Noirbits,,,,,,,
,Emerald Crypto,,,,,,,
