Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,144,602,625.00",$99.76,"11,474,025 BTC",-0.07%,5.77%,10.61%
2.0,LTCLitecoin,LTC,"$59,091,798.36",$2.9778,"19,844,180 LTC",-0.30%,3.33%,3.06%
3.0,NMCNamecoin,NMC,"$3,755,531.57",$0.6135,"6,121,493 NMC",-0.04%,1.83%,25.53%
4.0,PPCPeercoin,PPC,"$2,721,121.82",$0.1377,"19,766,366 PPC",-0.04%,3.17%,-1.64%
5.0,NVCNovacoin,NVC,"$1,976,019.96",$6.0103,"328,773 NVC",0.70%,-0.96%,58.21%
6.0,FTCFeathercoin,FTC,"$1,013,854.40",$0.08781,"11,546,500 FTC",-0.04%,1.98%,9.25%
7.0,XPMPrimecoin,XPM,"$904,374.13",$0.7232,"1,250,464 XPM",-0.04%,-1.23%,-27.15%
8.0,TRCTerracoin,TRC,"$461,230.76",$0.1317,"3,500,890 TRC",-0.04%,-1.62%,-11.41%
9.0,DVCDevcoin,DVC,"$267,289.84",$0.00005387,"4,961,920,000 DVC",-0.04%,-3.67%,5.61%
10.0,FRCFreicoin,FRC,"$208,635.46",$0.009078,"22,983,058 FRC",-0.04%,-1.72%,-15.28%
11.0,DGCDigitalcoin,DGC,"$177,525.47",$0.02993,"5,931,793 DGC",-0.59%,8.46%,-12.44%
12.0,MECMegacoin,MEC,"$153,304.26",$0.009974,"15,371,000 MEC",1.21%,-23.18%,-27.68%
13.0,WDCWorldCoin,WDC,"$108,739.11",$0.007982,"13,622,232 WDC",-2.98%,-8.95%,-30.97%
14.0,PXCPhoenixcoin,PXC,"$94,141.07",$0.02715,"3,467,750 PXC",-4.21%,2.24%,-30.85%
15.0,YACYacoin,YAC,"$84,116.05",$0.01726,"4,874,093 YAC",-3.93%,15.06%,-1.43%
16.0,FSTFastcoin,FST,"$72,306.80",$0.005187,"13,939,168 FST",-3.40%,-30.28%,13.36%
17.0,BQCBBQCoin,BQC,"$64,771.61",$0.003013,"21,500,016 BQC",-0.04%,-2.91%,-18.33%
18.0,IXCIxcoin,IXC,"$56,788.95",$0.003946,"14,390,258 IXC",-0.07%,8.23%,0.82%
19.0,IFCInfinitecoin,IFC,"$48,077.50",$0.00000077,"62,102,962,176 IFC",5.44%,52.45%,90.21%
20.0,FRKFranko,FRK,"$46,265.64",$1.0474,"44,170 FRK",16.62%,-10.28%,-5.63%
,CHNCoin,,,,,,,
,Mincoin,,,,,,,
,Anoncoin,,,,,,,
,Luckycoin,,,,,,,
,GoldCoin,,,,,,,
,Bottlecaps,,,,,,,
,BitBar,,,,,,,
,Bytecoin,,,,,,,
,Argentum,,,,,,,
,Krugercoin,,,,,,,
,Bitgem,,,,,,,
,AlphaCoin,,,,,,,
,CraftCoin,,,,,,,
,XenCoin,,,,,,,
,StableCoin,,,,,,,
,CasinoCoin,,,,,,,
,Memecoin,,,,,,,
,Noirbits,,,,,,,
,Elacoin,,,,,,,
,Nibble,,,,,,,
,Hypercoin,,,,,,,
,Doubloons,,,,,,,
,NanoToken,,,,,,,
,Spots,,,,,,,
,Junkcoin,,,,,,,
,EZCoin,,,,,,,
,Lebowskis,,,,,,,
