Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$3,910,613,036.04",$326.62,"11,972,975 BTC",0.78%,-4.22%,52.60%
2.0,LTCLitecoin,LTC,"$90,017,168.40",$3.9325,"22,890,542 LTC",1.46%,-7.09%,34.62%
3.0,XRPXRP,XRP,"$67,307,326.84",$0.008609,"7,817,889,792 XRP",0.67%,-0.89%,19.52%
4.0,PPCPeercoin,PPC,"$12,720,279.23",$0.614,"20,715,528 PPC",2.18%,5.65%,53.81%
5.0,NMCNamecoin,NMC,"$4,624,532.62",$0.6369,"7,260,900 NMC",2.12%,-4.62%,13.60%
6.0,NVCNovacoin,NVC,"$2,458,420.76",$5.1737,"475,180 NVC",0.07%,-1.47%,22.44%
7.0,FTCFeathercoin,FTC,"$2,408,398.36",$0.1078,"22,344,550 FTC",0.78%,-3.86%,28.46%
8.0,XPMPrimecoin,XPM,"$2,255,477.92",$0.7545,"2,989,399 XPM",1.72%,8.16%,11.27%
9.0,WDCWorldCoin,WDC,"$1,003,540.14",$0.03364,"29,833,000 WDC",4.16%,-1.77%,32.89%
10.0,TRCTerracoin,TRC,"$599,258.97",$0.1404,"4,266,810 TRC",1.79%,8.03%,24.50%
11.0,CBXBullion,CBX,"$472,541.19",$0.5275,"895,828 CBX",4.39%,24.48%,153.34%
12.0,MNCMincoin,MNC,"$457,336.73",$0.3266,"1,400,210 MNC",0.78%,31.77%,-36.00%
13.0,DVCDevcoin,DVC,"$388,413.93",$0.00006859,"5,662,819,840 DVC",0.78%,-16.90%,39.90%
14.0,CLRCopperlark,CLR,"$315,161.62",$0.06859,"4,594,849 CLR",1.03%,5.92%,-6.40%
15.0,MECMegacoin,MEC,"$298,283.64",$0.0145,"20,568,550 MEC",1.19%,1.50%,13.71%
16.0,IXCIxcoin,IXC,"$274,793.49",$0.01666,"16,493,330 IXC",0.80%,21.67%,52.86%
17.0,FRCFreicoin,FRC,"$216,303.13",$0.006839,"31,625,932 FRC",0.78%,-7.44%,21.31%
18.0,DGCDigitalcoin,DGC,"$169,845.80",$0.01618,"10,496,778 DGC",0.80%,-6.19%,28.88%
19.0,GLCGoldCoin,GLC,"$135,759.47",$0.004824,"28,141,476 GLC",-3.26%,-4.00%,--
20.0,ANCAnoncoin,ANC,"$120,244.92",$0.2386,"504,031 ANC",0.03%,-1.66%,-3.04%
,Infinitecoin,,,,,,,
,Zetacoin,,,,,,,
,BBQCoin,,,,,,,
,Luckycoin,,,,,,,
,TagCoin,,,,,,,
,Quark,,,,,,,
,Tickets,,,,,,,
,Yacoin,,,,,,,
,Franko,,,,,,,
,Bytecoin,,,,,,,
,Bottlecaps,,,,,,,
,BitBar,,,,,,,
,Phoenixcoin,,,,,,,
,Junkcoin,,,,,,,
,GameCoin,,,,,,,
,CraftCoin,,,,,,,
,Emerald Crypto,,,,,,,
