Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,096,957,926.58",$96.61,"11,354,025 BTC",-0.53%,1.83%,-9.91%
2.0,LTCLitecoin,LTC,"$56,721,517.99",$2.9805,"19,030,604 LTC",0.08%,7.03%,-3.08%
3.0,NMCNamecoin,NMC,"$2,995,222.23",$0.5014,"5,973,400 NMC",-1.65%,-1.23%,-11.33%
4.0,PPCPeercoin,PPC,"$2,367,684.20",$0.1217,"19,449,710 PPC",0.28%,2.64%,-1.36%
5.0,NVCNovacoin,NVC,"$931,437.38",$3.0926,"301,181 NVC",-0.51%,0.75%,-11.35%
6.0,FTCFeathercoin,FTC,"$694,353.94",$0.07826,"8,872,700 FTC",0.73%,1.97%,-19.90%
7.0,TRCTerracoin,TRC,"$395,910.40",$0.1304,"3,035,450 TRC",-0.27%,3.75%,-5.95%
8.0,DVCDevcoin,DVC,"$350,826.66",$0.00007343,"4,777,920,000 DVC",-0.51%,-1.52%,-13.67%
9.0,FRCFreicoin,FRC,"$274,804.66",$0.01256,"21,879,664 FRC",-0.51%,-5.45%,-0.12%
10.0,DGCDigitalcoin,DGC,"$93,810.47",$0.02619,"3,582,563 DGC",-0.33%,-1.69%,-6.43%
11.0,YACYacoin,YAC,"$92,500.45",$0.02338,"3,956,292 YAC",-3.18%,3.58%,7.18%
12.0,BQCBBQCoin,BQC,"$76,284.42",$0.003836,"19,888,648 BQC",-1.26%,-7.03%,0.84%
13.0,WDCWorldCoin,WDC,"$55,160.81",$0.007942,"6,945,743 WDC",-0.51%,0.81%,-19.16%
14.0,IXCIxcoin,IXC,"$51,205.23",$0.003671,"13,947,314 IXC",-0.51%,4.88%,-24.12%
15.0,CNCCHNCoin,CNC,"$45,596.16",$0.008695,"5,243,794 CNC",-10.46%,0.25%,-64.17%
16.0,MNCMincoin,MNC,"$42,677.67",$0.0372,"1,147,361 MNC",-0.51%,14.29%,73.38%
17.0,BTBBitBar,BTB,"$23,567.27",$5.9128,"3,986 BTB",-0.51%,3.88%,-9.61%
18.0,LKYLuckycoin,LKY,"$12,095.08",$0.002618,"4,619,548 LKY",-0.51%,2.12%,-6.13%
19.0,MEMMemecoin,MEM,"$10,668.84",$0.0007604,"14,031,450 MEM",-0.56%,-3.09%,-29.92%
20.0,GLCGoldCoin,GLC,"$6,496.10",$0.0003879,"16,745,950 GLC",-1.39%,-19.95%,-66.95%
,Bytecoin,,,,,,,
,Franko,,,,,,,
,Nibble,,,,,,,
,AmericanCoin,,,,,,,
,Elacoin,,,,,,,
,Junkcoin,,,,,,,
