Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,209,792,869.08",$105.14,"11,506,100 BTC",-0.05%,0.57%,6.11%
2.0,LTCLitecoin,LTC,"$60,288,260.68",$3.0092,"20,034,580 LTC",0.31%,0.68%,0.96%
3.0,XRPXRP,XRP,"$45,983,543.33",$0.005882,"7,817,889,792 XRP",-0.05%,--,--
4.0,NMCNamecoin,NMC,"$3,844,310.07",$0.6214,"6,186,543 NMC",0.00%,-0.27%,3.32%
5.0,PPCPeercoin,PPC,"$3,194,186.00",$0.1609,"19,855,732 PPC",0.00%,-2.16%,17.64%
6.0,FTCFeathercoin,FTC,"$2,066,053.89",$0.1661,"12,436,600 FTC",-4.87%,-14.74%,90.42%
7.0,NVCNovacoin,NVC,"$1,855,987.14",$5.4570,"340,114 NVC",-0.38%,-0.37%,-8.16%
8.0,XPMPrimecoin,XPM,"$889,983.29",$0.6487,"1,371,864 XPM",-0.08%,1.21%,-9.84%
9.0,TRCTerracoin,TRC,"$596,396.30",$0.1693,"3,523,110 TRC",-3.11%,-3.88%,29.23%
10.0,DVCDevcoin,DVC,"$321,340.28",$0.00006414,"5,010,169,856 DVC",0.00%,0.58%,14.38%
11.0,DGCDigitalcoin,DGC,"$227,201.16",$0.03529,"6,438,044 DGC",-0.15%,2.47%,19.89%
12.0,FRCFreicoin,FRC,"$158,973.60",$0.006834,"23,261,020 FRC",-0.05%,-8.18%,-24.20%
13.0,WDCWorldCoin,WDC,"$123,167.02",$0.008433,"14,606,197 WDC",-0.08%,-0.38%,0.24%
14.0,MECMegacoin,MEC,"$116,160.07",$0.007361,"15,780,250 MEC",2.97%,-2.49%,-17.98%
15.0,YACYacoin,YAC,"$106,721.68",$0.02061,"5,178,616 YAC",0.35%,15.28%,22.82%
16.0,MNCMincoin,MNC,"$90,902.20",$0.0736,"1,235,075 MNC",-19.85%,95.55%,188.13%
17.0,PXCPhoenixcoin,PXC,"$80,723.76",$0.02325,"3,472,400 PXC",-0.13%,2.76%,-13.09%
18.0,FSTFastcoin,FST,"$63,341.24",$0.004075,"15,542,464 FST",-0.71%,-7.71%,-21.59%
19.0,BQCBBQCoin,BQC,"$63,307.39",$0.002891,"21,894,690 BQC",-0.08%,5.94%,-10.70%
20.0,CBXBullion,CBX,"$61,609.39",$0.1122,"549,336 CBX",6.59%,--,--
,Ixcoin,,,,,,,
,Infinitecoin,,,,,,,
,GoldCoin,,,,,,,
,CHNCoin,,,,,,,
,Anoncoin,,,,,,,
,Luckycoin,,,,,,,
,Franko,,,,,,,
,Bottlecaps,,,,,,,
,Argentum,,,,,,,
,Bytecoin,,,,,,,
,BitBar,,,,,,,
,CasinoCoin,,,,,,,
,Bitgem,,,,,,,
,CraftCoin,,,,,,,
,Krugercoin,,,,,,,
,AlphaCoin,,,,,,,
,Emerald Crypto,,,,,,,
,GlobalCoin,,,,,,,
,Memecoin,,,,,,,
,StableCoin,,,,,,,
,XenCoin,,,,,,,
,Noirbits,,,,,,,
,Nibble,,,,,,,
,Spots,,,,,,,
,Elacoin,,,,,,,
,Doubloons,,,,,,,
,Lebowskis,,,,,,,
,Hypercoin,,,,,,,
,Junkcoin,,,,,,,
,EZCoin,,,,,,,
