Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$62,737,274,092.74","$3,583.97","17,504,987 BTC","$5,570,752,966.31",-0.27%,-0.57%,-0.39%
2.0,XRPXRP,XRP,"$12,737,591,538.84",$0.3094,"41,163,466,448 XRP","$362,599,965.07",-0.47%,-1.76%,-3.57%
3.0,ETHEthereum,ETH,"$11,861,671,822.01",$113.41,"104,595,400 ETH","$2,775,888,287.00",-0.92%,-2.60%,-4.68%
4.0,BCHBitcoin Cash,BCH,"$2,161,816,591.47",$122.90,"17,589,888 BCH","$201,627,686.64",-0.63%,-3.42%,-0.64%
5.0,EOSEOS,EOS,"$2,153,656,961.61",$2.3765,"906,245,118 EOS","$780,419,368.90",-0.80%,-2.62%,0.51%
6.0,USDTTether,USDT,"$2,034,836,040.58",$1.0087,"2,017,251,167 USDT","$3,932,642,453.36",-0.10%,-0.14%,-0.85%
7.0,LTCLitecoin,LTC,"$1,962,484,749.30",$32.59,"60,212,150 LTC","$678,149,673.48",-0.93%,-1.82%,4.51%
8.0,TRXTRON,TRX,"$1,951,984,410.96",$0.02928,"66,660,999,286 TRX","$395,857,212.87",-0.58%,2.11%,22.41%
9.0,XLMStellar,XLM,"$1,846,070,963.39",$0.09632,"19,166,823,282 XLM","$134,988,475.98",0.46%,-3.71%,-7.73%
10.0,BSVBitcoin SV,BSV,"$1,263,392,930.85",$71.83,"17,588,911 BSV","$56,898,464.09",-0.45%,-3.00%,-4.60%
11.0,ADACardano,ADA,"$1,067,363,755.41",$0.04117,"25,927,070,538 ADA","$20,835,106.77",-0.28%,-3.53%,-5.10%
12.0,BNBBinance Coin,BNB,"$915,621,568.58",$7.0882,"129,175,490 BNB","$52,872,346.68",-0.25%,1.45%,8.91%
13.0,XMRMonero,XMR,"$780,207,473.11",$46.58,"16,751,487 XMR","$37,895,259.97",-0.06%,1.55%,5.41%
14.0,MIOTAIOTA,MIOTA,"$767,212,408.53",$0.276,"2,779,530,283 MIOTA","$10,125,439.06",-0.65%,-3.69%,-9.28%
15.0,DASHDash,DASH,"$613,474,381.20",$71.40,"8,592,090 DASH","$162,049,523.08",-0.62%,-3.54%,2.25%
16.0,NEONeo,NEO,"$482,255,538.34",$7.4193,"65,000,000 NEO","$120,602,207.41",-0.91%,-1.33%,-2.34%
17.0,XEMNEM,XEM,"$474,438,962.32",$0.05272,"8,999,999,999 XEM","$12,643,507.80",-0.44%,-3.70%,-6.17%
18.0,ETCEthereum Classic,ETC,"$458,658,538.63",$4.2531,"107,842,201 ETC","$128,215,640.50",-0.87%,-1.52%,-1.23%
19.0,USDCUSD Coin,USDC,"$333,585,021.91",$1.0139,"328,998,264 USDC","$17,334,193.18",-0.19%,0.03%,-0.29%
20.0,MKRMaker,MKR,"$315,345,642.25",$433.03,"728,228 MKR","$6,000,949.61",-0.32%,-3.95%,-3.14%
,Zcash,,,,,,,,
,Waves,,,,,,,,
,Tezos,,,,,,,,
,Dogecoin,,,,,,,,
,VeChain,,,,,,,,
,TrueUSD,,,,,,,,
,Holo,,,,,,,,
,Ontology,,,,,,,,
,Bitcoin Gold,,,,,,,,
,Zilliqa,,,,,,,,
,Qtum,,,,,,,,
,OmiseGO,,,,,,,,
,0x,,,,,,,,
,Decred,,,,,,,,
,Basic Attention Token,,,,,,,,
,Chainlink,,,,,,,,
,Augur,,,,,,,,
,Lisk,,,,,,,,
,Paxos Standard,,,,,,,,
,Nano,,,,,,,,
,Pundi X,,,,,,,,
,Bitcoin Diamond,,,,,,,,
,Bytecoin,,,,,,,,
,ICON,,,,,,,,
,DigiByte,,,,,,,,
,BitShares,,,,,,,,
,Steem,,,,,,,,
,Siacoin,,,,,,,,
,Revain,,,,,,,,
,Verge,,,,,,,,
,Gemini Dollar,,,,,,,,
,Aeternity,,,,,,,,
,Stratis,,,,,,,,
,Bytom,,,,,,,,
,Komodo,,,,,,,,
,Single Collateral DAI,,,,,,,,
,IOST,,,,,,,,
,Status,,,,,,,,
,Populous,,,,,,,,
,Electroneum,,,,,,,,
,Golem,,,,,,,,
,PayPie,,,,,,,,
,Factom,,,,,,,,
,Cryptonex,,,,,,,,
,REPO,,,,,,,,
,Aurora,,,,,,,,
,ODEM,,,,,,,,
,MaidSafeCoin,,,,,,,,
,Loopring,,,,,,,,
,Ardor,,,,,,,,
,Huobi Token,,,,,,,,
,Insight Chain,,,,,,,,
,Ark,,,,,,,,
,Mixin,,,,,,,,
,Polymath,,,,,,,,
,Waltonchain,,,,,,,,
,HyperCash,,,,,,,,
,Project Pai,,,,,,,,
,PIVX,,,,,,,,
,ReddCoin,,,,,,,,
,THETA,,,,,,,,
,Decentraland,,,,,,,,
,Dentacoin,,,,,,,,
,Linkey,,,,,,,,
,KuCoin Shares,,,,,,,,
,DigixDAO,,,,,,,,
,Aion,,,,,,,,
,Bancor,,,,,,,,
,STASIS EURO,,,,,,,,
,MCO,,,,,,,,
,Ravencoin,,,,,,,,
,Power Ledger,,,,,,,,
,Wanchain,,,,,,,,
,GXChain,,,,,,,,
,Elastos,,,,,,,,
,Zcoin,,,,,,,,
,WAX,,,,,,,,
,MonaCoin,,,,,,,,
,Nexo,,,,,,,,
,Crypto.com Coin,,,,,,,,
,TenX,,,,,,,,
,Buggyra Coin Zero,,,,,,,,
,Metaverse ETP,,,,,,,,
,MOAC,,,,,,,,
,aelf,,,,,,,,
,Veritaseum,,,,,,,,
,QASH,,,,,,,,
,QuarkChain,,,,,,,,
,SingularityNET,,,,,,,,
,Centrality,,,,,,,,
