Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d,volume (24h)
19.0,ANCAnoncoin,ANC,"$2,879,432.55",$4.6194,"623,335 ANC",0.03%,0.13%,22.83%,"$5,745.18"
20.0,DGCDigitalcoin,DGC,"$2,846,070.43",$0.2405,"11,835,701 DGC",0.14%,-0.91%,5.00%,"$19,775.66"
,Freicoin,,,,,,,,
,Copperlark,,,,,,,,
,EarthCoin,,,,,,,,
,Memorycoin,,,,,,,,
,Catcoin,,,,,,,,
,LottoCoin,,,,,,,,
,GameCoin,,,,,,,,
,Elacoin,,,,,,,,
