Rank,Name,Symbol,Market Cap,Price,Circulating Supply,% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$1,616,584,461.39",$137.34,"11,770,675 BTC",-0.35%,1.29%,6.69%
2.0,XRPXRP,XRP,"$100,598,758.00",$0.01287,"7,817,889,792 XRP",-0.35%,-7.54%,24.34%
3.0,LTCLitecoin,LTC,"$49,785,014.00",$2.2977,"21,667,342 LTC",-0.89%,1.18%,-8.85%
4.0,PPCPeercoin,PPC,"$5,418,264.45",$0.2651,"20,441,174 PPC",-0.42%,0.86%,37.91%
5.0,NMCNamecoin,NMC,"$3,517,486.22",$0.5137,"6,848,000 NMC",1.95%,0.37%,-9.20%
6.0,FTCFeathercoin,FTC,"$2,028,652.20",$0.1154,"17,584,550 FTC",0.85%,6.11%,-0.94%
7.0,NVCNovacoin,NVC,"$1,659,935.08",$4.0227,"412,643 NVC",-3.84%,3.87%,-12.17%
8.0,XPMPrimecoin,XPM,"$828,380.55",$0.3606,"2,297,115 XPM",-5.55%,-1.43%,16.07%
9.0,TRCTerracoin,TRC,"$673,687.59",$0.1758,"3,832,230 TRC",0.32%,1.21%,4.10%
10.0,DVCDevcoin,DVC,"$266,161.77",$0.00004944,"5,383,269,888 DVC",2.50%,5.96%,12.28%
11.0,CBXBullion,CBX,"$258,741.55",$0.3159,"819,108 CBX",-0.83%,-4.64%,-5.04%
12.0,MNCMincoin,MNC,"$199,409.90",$0.1483,"1,344,414 MNC",-7.98%,-2.87%,183.23%
13.0,IXCIxcoin,IXC,"$175,359.30",$0.01119,"15,666,578 IXC",-50.70%,-44.97%,2.50%
14.0,DGCDigitalcoin,DGC,"$153,821.19",$0.01688,"9,114,606 DGC",-1.29%,-13.12%,-15.49%
15.0,WDCWorldCoin,WDC,"$127,463.16",$0.005494,"23,202,120 WDC",0.66%,13.28%,98.92%
16.0,FRCFreicoin,FRC,"$114,799.99",$0.00412,"27,862,724 FRC",-0.35%,1.28%,-7.93%
17.0,GLCGoldCoin,GLC,"$111,838.46",$0.004124,"27,116,824 GLC",-6.69%,-9.02%,7.97%
18.0,ZETZetacoin,ZET,"$78,650.83",$0.0005796,"135,704,368 ZET",0.44%,-2.64%,3.05%
19.0,QRKQuark,QRK,"$61,261.75",$0.0002733,"224,150,272 QRK",1.69%,1.31%,23.65%
20.0,YACYacoin,YAC,"$42,044.12",$0.005447,"7,718,902 YAC",-0.35%,-6.59%,4.25%
,Fastcoin,,,,,,,
,SecureCoin,,,,,,,
,BBQCoin,,,,,,,
,Franko,,,,,,,
,Bytecoin,,,,,,,
,BitBar,,,,,,,
,CHNCoin,,,,,,,
,Argentum,,,,,,,
,Phoenixcoin,,,,,,,
,GameCoin,,,,,,,
,Bitgem,,,,,,,
,CraftCoin,,,,,,,
,Junkcoin,,,,,,,
,Elacoin,,,,,,,
,Noirbits,,,,,,,
,Hypercoin,,,,,,,
