Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$134,215,145,409.92","$7,424.29","18,077,837 BTC","$18,720,708,479.35",0.28%,-1.64%,6.33%
2.0,ETHEthereum,ETH,"$16,443,650,814.39",$151.19,"108,764,570 ETH","$7,102,780,297.54",-0.17%,-0.49%,5.97%
3.0,XRPXRP,XRP,"$9,756,884,340.97",$0.2253,"43,299,885,509 XRP","$1,176,237,060.40",0.56%,-0.22%,1.75%
4.0,USDTTether,USDT,"$4,118,235,661.15",$1.0025,"4,108,044,456 USDT","$21,027,847,332.30",0.15%,0.04%,-0.91%
5.0,BCHBitcoin Cash,BCH,"$3,922,144,119.00",$216.17,"18,143,825 BCH","$1,260,404,762.21",-0.11%,-1.12%,5.38%
6.0,LTCLitecoin,LTC,"$3,041,545,709.07",$47.71,"63,749,132 LTC","$2,781,413,686.07",-0.19%,0.68%,5.88%
7.0,EOSEOS,EOS,"$2,618,290,742.23",$2.7779,"942,556,942 EOS","$1,792,147,034.05",-0.29%,0.97%,12.87%
8.0,BNBBinance Coin,BNB,"$2,410,249,227.29",$15.50,"155,536,713 BNB","$203,268,416.70",0.03%,-0.97%,1.41%
9.0,BSVBitcoin SV,BSV,"$1,884,411,960.68",$104.29,"18,068,415 BSV","$377,438,738.63",-0.10%,-2.84%,3.76%
10.0,XLMStellar,XLM,"$1,164,817,487.42",$0.05808,"20,054,779,554 XLM","$214,999,369.90",0.36%,-1.70%,1.91%
11.0,TRXTRON,TRX,"$1,063,601,685.20",$0.01595,"66,682,072,191 TRX","$1,221,749,577.20",0.09%,3.13%,14.39%
12.0,ADACardano,ADA,"$1,026,365,437.17",$0.03959,"25,927,070,538 ADA","$59,641,355.40",0.38%,-1.94%,11.73%
13.0,XMRMonero,XMR,"$928,901,682.79",$53.59,"17,334,698 XMR","$32,630,308.78",0.26%,-1.88%,10.95%
14.0,LEOUNUS SED LEO,LEO,"$920,004,249.02",$0.9205,"999,498,893 LEO","$7,672,142.66",-0.05%,0.77%,-1.04%
