Rank,Name,Symbol,Market Cap,Price,Circulating Supply,volume (24h),% 1h,% 24h,% 7d
1.0,BTCBitcoin,BTC,"$127,327,398,565.03","$7,047.92","18,065,962 BTC","$30,433,517,289.47",-0.99%,-4.44%,-18.09%
2.0,ETHEthereum,ETH,"$15,523,459,920.49",$142.83,"108,681,292 ETH","$7,782,769,097.96",-1.96%,-6.81%,-23.10%
3.0,XRPXRP,XRP,"$9,663,857,830.99",$0.2232,"43,299,885,509 XRP","$2,932,397,174.29",-2.19%,-4.88%,-16.03%
4.0,USDTTether,USDT,"$4,180,011,937.39",$1.0175,"4,108,044,456 USDT","$25,990,545,760.92",0.57%,0.48%,0.59%
5.0,BCHBitcoin Cash,BCH,"$3,719,555,397.51",$205.15,"18,131,013 BCH","$2,128,845,957.16",-1.64%,-5.01%,-23.86%
6.0,LTCLitecoin,LTC,"$2,849,656,911.63",$44.73,"63,701,938 LTC","$2,709,705,879.18",-2.22%,-7.68%,-25.29%
7.0,BNBBinance Coin,BNB,"$2,376,408,888.99",$15.28,"155,536,713 BNB","$232,363,837.13",-2.74%,-6.41%,-24.81%
8.0,EOSEOS,EOS,"$2,307,205,604.79",$2.4504,"941,580,899 EOS","$2,906,089,979.26",-2.52%,-9.58%,-28.63%
9.0,BSVBitcoin SV,BSV,"$1,814,217,167.92",$100.41,"18,068,415 BSV","$599,838,915.16",-2.40%,-7.54%,-19.48%
10.0,XLMStellar,XLM,"$1,140,743,319.59",$0.05688,"20,054,779,554 XLM","$795,594,527.54",-1.87%,-6.07%,-21.24%
11.0,LEOUNUS SED LEO,LEO,"$935,760,479.05",$0.9362,"999,498,893 LEO","$13,756,868.19",0.39%,-1.66%,-4.44%
12.0,TRXTRON,TRX,"$928,905,052.13",$0.01393,"66,682,072,191 TRX","$1,212,567,751.36",-2.12%,-7.81%,-26.35%
13.0,ADACardano,ADA,"$922,680,695.48",$0.03559,"25,927,070,538 ADA","$62,998,664.48",-1.32%,-7.17%,-21.83%
14.0,XTZTezos,XTZ,"$887,731,654.43",$1.3443,"660,373,612 XTZ","$49,206,069.82",-1.39%,-3.65%,13.73%
15.0,XMRMonero,XMR,"$835,374,693.01",$48.22,"17,323,449 XMR","$150,228,084.17",-1.80%,-7.37%,-22.72%
16.0,LINKChainlink,LINK,"$789,526,614.89",$2.2558,"350,000,000 LINK","$149,929,049.52",-1.93%,-7.21%,-23.32%
17.0,NEONeo,NEO,"$645,495,987.74",$9.1509,"70,538,831 NEO","$400,062,692.95",-2.08%,-9.19%,-24.61%
18.0,HTHuobi Token,HT,"$583,464,627.26",$2.4182,"241,284,047 HT","$129,201,164.78",-2.36%,-13.94%,-33.53%
19.0,ATOMCosmos,ATOM,"$582,795,476.90",$3.0563,"190,688,439 ATOM","$267,084,993.87",-5.45%,-5.39%,-21.76%
20.0,MIOTAIOTA,MIOTA,"$565,947,118.61",$0.2036,"2,779,530,283 MIOTA","$10,929,514.56",-2.62%,-6.18%,-21.95%
,Maker,,,,,,,,
,Dash,,,,,,,,
,USD Coin,,,,,,,,
,Ethereum Classic,,,,,,,,
,Ontology,,,,,,,,
,Crypto.com Coin,,,,,,,,
,NEM,,,,,,,,
,VeChain,,,,,,,,
,Dogecoin,,,,,,,,
,Basic Attention Token,,,,,,,,
,INO COIN,,,,,,,,
,MINDOL,,,,,,,,
,Synthetix Network Token,,,,,,,,
,Zcash,,,,,,,,
,Paxos Standard,,,,,,,,
,Insight Chain,,,,,,,,
,Decred,,,,,,,,
,PRIZM,,,,,,,,
,TrueUSD,,,,,,,,
,HedgeTrade,,,,,,,,
,Centrality,,,,,,,,
,Qtum,,,,,,,,
,0x,,,,,,,,
,Holo,,,,,,,,
,ThoreNext,,,,,,,,
,Seele,,,,,,,,
,Augur,,,,,,,,
,ThoreCoin,,,,,,,,
,Bitcoin Gold,,,,,,,,
,EDUCare,,,,,,,,
,Ravencoin,,,,,,,,
,OmiseGO,,,,,,,,
,ABBC Coin,,,,,,,,
,Nano,,,,,,,,
,v.systems,,,,,,,,
,Algorand,,,,,,,,
,Cryptonex,,,,,,,,
,Mixin,,,,,,,,
,ZB Token,,,,,,,,
,Single Collateral DAI,,,,,,,,
,Dimension Chain,,,,,,,,
,DigiByte,,,,,,,,
,Lisk,,,,,,,,
,KuCoin Shares,,,,,,,,
,Komodo,,,,,,,,
,FTX Token,,,,,,,,
,Terra,,,,,,,,
,MMOCoin,,,,,,,,
,Swipe,,,,,,,,
,Quant,,,,,,,,
,Bitcoin Diamond,,,,,,,,
,GAPS,,,,,,,,
,Bytom,,,,,,,,
,ICON,,,,,,,,
,Siacoin,,,,,,,,
,BitTorrent,,,,,,,,
,MonaCoin,,,,,,,,
,THETA,,,,,,,,
,MCO,,,,,,,,
,Karatgold Coin,,,,,,,,
,Waves,,,,,,,,
,Beldex,,,,,,,,
,Silverway,,,,,,,,
,Verge,,,,,,,,
,IOST,,,,,,,,
,BitShares,,,,,,,,
,DxChain Token,,,,,,,,
,Bitbook Gambling,,,,,,,,
,iExec RLC,,,,,,,,
,Bytecoin,,,,,,,,
,HyperCash,,,,,,,,
,Nexo,,,,,,,,
,1irstcoin,,,,,,,,
,MaidSafeCoin,,,,,,,,
,MineBee,,,,,,,,
,Molecular Future,,,,,,,,
,Storeum,,,,,,,,
,Aeternity,,,,,,,,
,Ardor,,,,,,,,
,BitMax Token,,,,,,,,
,Breezecoin,,,,,,,,
,Enjin Coin,,,,,,,,
,Flexacoin,,,,,,,,
,VestChain,,,,,,,,
,Chiliz,,,,,,,,
,Zilliqa,,,,,,,,
,Steem,,,,,,,,
,OKB,,,,,,,,
,Digitex Futures,,,,,,,,
,Noah Coin,,,,,,,,
,Matic Network,,,,,,,,
,Horizen,,,,,,,,
,Energi,,,,,,,,
,ILCoin,,,,,,,,
,Crypterium,,,,,,,,
,STASIS EURO,,,,,,,,
,Ren,,,,,,,,
,BitForex Token,,,,,,,,
,Status,,,,,,,,
,SOLVE,,,,,,,,
,FABRK,,,,,,,,
,Golem,,,,,,,,
,Pundi X,,,,,,,,
,aelf,,,,,,,,
,NEXT,,,,,,,,
,Newton,,,,,,,,
,Veritaseum,,,,,,,,
,RSK Infrastructure Framework,,,,,,,,
,Cryptoindex.com 100,,,,,,,,
,Electroneum,,,,,,,,
,PLATINCOIN,,,,,,,,
,Zcoin,,,,,,,,
,botXcoin,,,,,,,,
,Dynamic Trading Rights,,,,,,,,
,Nash Exchange,,,,,,,,
,Aurora,,,,,,,,
,Stratis,,,,,,,,
,USDK,,,,,,,,
,Metaverse ETP,,,,,,,,
,Bit-Z Token,,,,,,,,
,LATOKEN,,,,,,,,
,Populous,,,,,,,,
,Enigma,,,,,,,,
,GXChain,,,,,,,,
,Grin,,,,,,,,
,Elastos,,,,,,,,
,Kyber Network,,,,,,,,
,Bankera,,,,,,,,
,Tierion,,,,,,,,
,Factom,,,,,,,,
,Fusion,,,,,,,,
,Buggyra Coin Zero,,,,,,,,
,Ignis,,,,,,,,
,Bitcoin 2,,,,,,,,
,Waltonchain,,,,,,,,
,Fetch.ai,,,,,,,,
,EDC Blockchain,,,,,,,,
,WINk,,,,,,,,
,Huobi Pool Token,,,,,,,,
,Aion,,,,,,,,
,YOU COIN,,,,,,,,
,XMax,,,,,,,,
,Decentraland,,,,,,,,
,DigixDAO,,,,,,,,
,NULS,,,,,,,,
,Bread,,,,,,,,
,Ripio Credit Network,,,,,,,,
,BitcoinHD,,,,,,,,
,Beam,,,,,,,,
,Qubitica,,,,,,,,
,Loopring,,,,,,,,
,Revain,,,,,,,,
,Lambda,,,,,,,,
,Thunder Token,,,,,,,,
,ReddCoin,,,,,,,,
,IoTeX,,,,,,,,
,Wanchain,,,,,,,,
,LINA,,,,,,,,
,Nebulas,,,,,,,,
,AgaveCoin,,,,,,,,
,Binance USD,,,,,,,,
,Project Pai,,,,,,,,
,Dragon Coins,,,,,,,,
,Telos,,,,,,,,
,ODEM,,,,,,,,
,WaykiChain,,,,,,,,
,Diamond Platform Token,,,,,,,,
,Civic,,,,,,,,
,FunFair,,,,,,,,
,Maximine Coin,,,,,,,,
,Hyperion,,,,,,,,
,QASH,,,,,,,,
,Ark,,,,,,,,
,Fantom,,,,,,,,
,BQT,,,,,,,,
,General Attention Currency,,,,,,,,
,Orbs,,,,,,,,
,EXMR FDN,,,,,,,,
,Hedera Hashgraph,,,,,,,,
,Divi,,,,,,,,
